Tarih,TP_FINSVERI4_K59
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,
2015-01-01,
2015-04-01,
2015-07-01,
2015-10-01,
2016-01-01,
2016-04-01,
2016-07-01,
2016-10-01,
2017-01-01,
2017-04-01,
2017-07-01,
2017-10-01,
2018-01-01,68859966.74
2018-04-01,75115686.92
2018-07-01,81728908.38
2018-10-01,81845778.9
2019-01-01,82877315.37
2019-04-01,91717206.28
2019-07-01,92884237.39
2019-10-01,96536605.86
2020-01-01,19890014.65
2020-04-01,22682746.48
2020-07-01,25617249.65
2020-10-01,30105595.86
2021-01-01,29690517.52
2021-04-01,34884225.23
2021-07-01,34543563.45
2021-10-01,37292309.21
2022-01-01,51409051.11
2022-04-01,56168148.99
2022-07-01,65949978.14
2022-10-01,77337838.96
2023-01-01,95739311.74
2023-04-01,95426098.14
2023-07-01,104558230.18
2023-10-01,139116852.49
2024-01-01,140542726.53
2024-04-01,180933784.2
2024-07-01,198077519.17
2024-10-01,210693197.45
2025-01-01,223190709.03
2025-04-01,265110414.55
