Tarih,TP_IYA_CDUR2_S11_B
2015-06-01,55.3
2015-07-01,55.9
2015-08-01,24.9
2015-09-01,54.1
2015-10-01,53.1
2015-11-01,53.2
2015-12-01,36.5
2016-01-01,32.1
2016-02-01,35.0
2016-03-01,38.0
2016-04-01,21.4
2016-05-01,47.3
2016-06-01,63.1
2016-07-01,18.3
2016-08-01,21.0
2016-09-01,15.0
2016-10-01,17.9
2016-11-01,19.6
2016-12-01,45.7
2017-01-01,20.6
2017-02-01,20.9
2017-03-01,29.3
2017-04-01,14.3
2017-05-01,10.1
2017-06-01,16.1
2017-07-01,46.4
2017-08-01,59.7
2017-09-01,58.5
2017-10-01,35.0
2017-11-01,54.4
2017-12-01,20.3
2018-01-01,41.6
2018-02-01,22.1
2018-03-01,44.7
2018-04-01,30.7
2018-05-01,47.9
2018-06-01,58.6
2018-07-01,60.2
2018-08-01,50.0
2018-09-01,56.5
2018-10-01,54.0
2018-11-01,25.5
2018-12-01,34.6
2019-01-01,32.3
2019-02-01,51.5
2019-03-01,46.5
2019-04-01,59.5
2019-05-01,59.2
2019-06-01,59.6
2019-07-01,74.8
2019-08-01,62.6
2019-09-01,61.6
2019-10-01,67.0
2019-11-01,54.2
2019-12-01,60.3
2020-01-01,38.7
2020-02-01,41.9
2020-03-01,56.8
2020-04-01,29.8
2020-05-01,18.6
2020-06-01,20.3
2020-07-01,36.0
2020-08-01,18.6
2020-09-01,28.1
2020-10-01,38.6
2020-11-01,33.6
2020-12-01,39.2
2021-01-01,45.0
2021-02-01,37.9
2021-03-01,32.8
2021-04-01,41.2
2021-05-01,30.6
2021-06-01,40.6
2021-07-01,46.4
2021-08-01,37.5
2021-09-01,32.2
2021-10-01,35.8
2021-11-01,56.8
2021-12-01,32.1
2022-01-01,37.4
2022-02-01,44.9
2022-03-01,53.3
2022-04-01,73.3
2022-05-01,69.6
2022-06-01,38.6
2022-07-01,39.7
2022-08-01,63.5
2022-09-01,39.7
2022-10-01,67.4
2022-11-01,46.0
2022-12-01,60.0
2023-01-01,65.0
2023-02-01,63.9
2023-03-01,43.6
2023-04-01,59.3
2023-05-01,66.1
2023-06-01,60.5
2023-07-01,41.1
2023-08-01,34.0
2023-09-01,42.8
2023-10-01,38.8
2023-11-01,45.0
2023-12-01,41.1
2024-01-01,42.8
2024-02-01,46.1
2024-03-01,46.3
2024-04-01,48.4
2024-05-01,37.0
2024-06-01,43.8
2024-07-01,43.9
2024-08-01,45.0
2024-09-01,48.8
2024-10-01,51.4
2024-11-01,52.6
2024-12-01,58.5
2025-01-01,58.2
2025-02-01,61.4
2025-03-01,64.1
2025-04-01,67.4
2025-05-01,66.9
2025-06-01,82.6
2025-07-01,64.3
2025-08-01,65.7
2025-09-01,50.9
