Tarih,TP_METALIHR_G71
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,690270.051
2013-02-01,836515.802
2013-03-01,756743.348
2013-04-01,660592.797
2013-05-01,697212.046
2013-06-01,623770.147
2013-07-01,531730.159
2013-08-01,434879.386
2013-09-01,601536.615
2013-10-01,384466.897
2013-11-01,467216.862
2013-12-01,317660.127
2014-01-01,537568.414
2014-02-01,1125111.12
2014-03-01,1843354.528
2014-04-01,384845.245
2014-05-01,393251.415
2014-06-01,343785.548
2014-07-01,531819.24
2014-08-01,348883.809
2014-09-01,611434.196
2014-10-01,487170.878
2014-11-01,625193.247
2014-12-01,489461.479
2015-01-01,1706805.115
2015-02-01,1912894.831
2015-03-01,1315378.841
2015-04-01,1772615.848
2015-05-01,509537.706
2015-06-01,372934.324
2015-07-01,291801.77
2015-08-01,644130.895
2015-09-01,993444.019
2015-10-01,1034859.956
2015-11-01,379500.366
2015-12-01,331566.207
2016-01-01,467955.408
2016-02-01,1737877.172
2016-03-01,1331050.243
2016-04-01,681681.635
2016-05-01,1411052.754
2016-06-01,1133154.999
2016-07-01,950350.412
2016-08-01,903496.631
