Tarih,TP_METALIHR_G71
2016-09-01,622901.744
2016-10-01,1163613.843
2016-11-01,1014042.13
2016-12-01,761859.766
2017-01-01,810749.271
2017-02-01,965593.535
2017-03-01,1178457.65
2017-04-01,1189355.129
2017-05-01,990054.085
2017-06-01,972604.697
2017-07-01,1316184.971
2017-08-01,1054928.592
2017-09-01,648494.131
2017-10-01,608021.307
2017-11-01,683232.287
2017-12-01,466163.339
2018-01-01,294762.399
2018-02-01,363810.241
2018-03-01,768724.811
2018-04-01,636159.024
2018-05-01,472968.302
2018-06-01,413319.234
2018-07-01,522789.628
2018-08-01,1188268.621
2018-09-01,823804.148
2018-10-01,767658.203
2018-11-01,507988.574
2018-12-01,414717.73
2019-01-01,530613.447
2019-02-01,504900.498
2019-03-01,607212.009
2019-04-01,572002.473
2019-05-01,685690.995
2019-06-01,453360.436
2019-07-01,760571.544
2019-08-01,734703.212
2019-09-01,614018.852
2019-10-01,510167.99
2019-11-01,757854.513
2019-12-01,601914.885
2020-01-01,528265.116
2020-02-01,670640.117
2020-03-01,505970.095
2020-04-01,107966.901
2020-05-01,571893.38
2020-06-01,590734.358
2020-07-01,511140.887
2020-08-01,544687.509
2020-09-01,493201.03
2020-10-01,919313.881
2020-11-01,562206.363
2020-12-01,687416.562
2021-01-01,876010.411
2021-02-01,668071.911
2021-03-01,1021258.441
2021-04-01,986585.044
2021-05-01,677709.907
2021-06-01,852902.115
2021-07-01,663525.67
2021-08-01,772993.367
2021-09-01,710576.517
2021-10-01,1118182.011
2021-11-01,1538880.845
2021-12-01,1078005.463
2022-01-01,705195.048
2022-02-01,843560.025
2022-03-01,753141.706
2022-04-01,869010.425
2022-05-01,704216.475
2022-06-01,920489.735
2022-07-01,662765.264
2022-08-01,922305.517
2022-09-01,951125.993
2022-10-01,1040751.292
2022-11-01,982624.05
2022-12-01,852639.386
2023-01-01,733151.914
2023-02-01,812782.075
2023-03-01,1126328.372
2023-04-01,797940.1
2023-05-01,899579.376
2023-06-01,1107134.684
2023-07-01,957826.171
2023-08-01,1057669.354
2023-09-01,1454565.376
2023-10-01,1603218.298
2023-11-01,1858470.328
2023-12-01,1238146.021
2024-01-01,792472.585
2024-02-01,874726.401
2024-03-01,936573.623
2024-04-01,973094.444
2024-05-01,1328236.517
2024-06-01,774365.214
2024-07-01,1525865.152
2024-08-01,1405435.242
2024-09-01,1012612.216
2024-10-01,1023587.296
2024-11-01,1186199.92
2024-12-01,1196945.459
2025-01-01,1561745.722
2025-02-01,1258869.842
2025-03-01,1195914.748
2025-04-01,921069.063
2025-05-01,1420556.541
2025-06-01,663809.159
2025-07-01,1242278.207
2025-08-01,1045735.098
