Tarih,TP_METALIHR_G667
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,60.765
2013-02-01,578.201
2013-03-01,67.731
2013-04-01,984.667
2013-05-01,124.092
2013-06-01,302.809
2013-07-01,377.682
2013-08-01,145.002
2013-09-01,186.79
2013-10-01,247.075
2013-11-01,11.271
2013-12-01,22.114
2014-01-01,386.174
2014-02-01,277.608
2014-03-01,507.919
2014-04-01,84.316
2014-05-01,253.406
2014-06-01,13.196
2014-07-01,726.326
2014-08-01,60.266
2014-09-01,756.273
2014-10-01,946.756
2014-11-01,1184.935
2014-12-01,390.358
2015-01-01,369.253
2015-02-01,1019.256
2015-03-01,1416.697
2015-04-01,681.61
2015-05-01,1262.426
2015-06-01,751.724
2015-07-01,1627.225
2015-08-01,548.291
2015-09-01,421.038
2015-10-01,576.456
2015-11-01,831.699
2015-12-01,818.477
2016-01-01,318.146
2016-02-01,749.951
2016-03-01,2171.735
2016-04-01,1231.661
2016-05-01,1117.636
2016-06-01,1016.413
2016-07-01,574.327
2016-08-01,1488.224
2016-09-01,716.485
2016-10-01,2325.845
2016-11-01,2294.343
2016-12-01,1841.244
