Tarih,TP_METALIHR_G667
2017-01-01,1713.288
2017-02-01,869.746
2017-03-01,1169.137
2017-04-01,1973.255
2017-05-01,376.017
2017-06-01,1060.446
2017-07-01,173.205
2017-08-01,1350.467
2017-09-01,1558.708
2017-10-01,1776.637
2017-11-01,564.426
2017-12-01,175.57
2018-01-01,1159.577
2018-02-01,1064.791
2018-03-01,2613.86
2018-04-01,3735.008
2018-05-01,2235.109
2018-06-01,3116.953
2018-07-01,1962.962
2018-08-01,3430.026
2018-09-01,3895.655
2018-10-01,5873.287
2018-11-01,2325.091
2018-12-01,2884.233
2019-01-01,1932.534
2019-02-01,3455.616
2019-03-01,3608.805
2019-04-01,4469.187
2019-05-01,3970.881
2019-06-01,1853.853
2019-07-01,6536.904
2019-08-01,3415.858
2019-09-01,7357.083
2019-10-01,5609.617
2019-11-01,5165.329
2019-12-01,11514.358
2020-01-01,2339.731
2020-02-01,6891.33
2020-03-01,1086.473
2020-04-01,22.741
2020-05-01,232.421
2020-06-01,1505.892
2020-07-01,1431.321
2020-08-01,4544.166
2020-09-01,4348.079
2020-10-01,7899.524
2020-11-01,3646.003
2020-12-01,4630.965
2021-01-01,3513.742
2021-02-01,3222.714
2021-03-01,2728.921
2021-04-01,2908.559
2021-05-01,347.205
2021-06-01,2687.615
2021-07-01,607.682
2021-08-01,1372.589
2021-09-01,4150.976
2021-10-01,5200.407
2021-11-01,1833.887
2021-12-01,4130.813
2022-01-01,1508.946
2022-02-01,4344.682
2022-03-01,1255.582
2022-04-01,2253.217
2022-05-01,3140.277
2022-06-01,2410.06
2022-07-01,1230.316
2022-08-01,1939.85
2022-09-01,3763.927
2022-10-01,1479.658
2022-11-01,2129.757
2022-12-01,1763.945
2023-01-01,1401.225
2023-02-01,1919.002
2023-03-01,4928.044
2023-04-01,2447.098
2023-05-01,1190.265
2023-06-01,870.363
2023-07-01,1731.682
2023-08-01,2247.75
2023-09-01,503.78
2023-10-01,7572.531
2023-11-01,3730.467
2023-12-01,450.933
2024-01-01,3021.346
2024-02-01,672.197
2024-03-01,2055.782
2024-04-01,1469.045
2024-05-01,775.403
2024-06-01,3031.054
2024-07-01,1006.204
2024-08-01,1518.128
2024-09-01,1204.743
2024-10-01,3065.548
2024-11-01,2060.749
2024-12-01,543.664
2025-01-01,2310.758
2025-02-01,1006.502
2025-03-01,3942.114
2025-04-01,1652.914
2025-05-01,1627.013
2025-06-01,1888.384
2025-07-01,3984.356
2025-08-01,894.467
