Tarih,TP_METALIHR_G289
2016-11-01,875.484
2016-12-01,2982.236
2017-01-01,5291.906
2017-02-01,630.325
2017-03-01,3694.778
2017-04-01,3413.393
2017-05-01,4922.123
2017-06-01,7191.559
2017-07-01,3220.71
2017-08-01,3360.323
2017-09-01,3373.084
2017-10-01,3230.013
2017-11-01,5364.402
2017-12-01,1717.416
2018-01-01,9701.18
2018-02-01,1892.668
2018-03-01,11755.1
2018-04-01,4567.848
2018-05-01,4725.13
2018-06-01,6540.875
2018-07-01,4239.546
2018-08-01,8522.588
2018-09-01,3421.406
2018-10-01,4553.514
2018-11-01,7824.828
2018-12-01,4869.578
2019-01-01,1737.261
2019-02-01,7915.904
2019-03-01,4549.634
2019-04-01,5361.343
2019-05-01,5827.953
2019-06-01,4390.369
2019-07-01,3245.02
2019-08-01,2851.904
2019-09-01,11163.528
2019-10-01,8271.669
2019-11-01,9804.218
2019-12-01,9127.792
2020-01-01,3616.278
2020-02-01,9686.996
2020-03-01,3881.9
2020-04-01,1953.101
2020-05-01,16851.264
2020-06-01,11029.895
2020-07-01,10573.904
2020-08-01,8450.953
2020-09-01,9714.229
2020-10-01,11200.622
2020-11-01,9332.297
2020-12-01,15088.085
2021-01-01,7256.03
2021-02-01,8243.817
2021-03-01,10474.333
2021-04-01,9572.055
2021-05-01,10287.957
2021-06-01,11668.978
2021-07-01,21809.1
2021-08-01,10524.129
2021-09-01,15934.53
2021-10-01,5430.741
2021-11-01,11211.024
2021-12-01,9284.328
2022-01-01,4634.421
2022-02-01,10506.969
2022-03-01,11439.119
2022-04-01,4278.235
2022-05-01,9938.476
2022-06-01,12166.849
2022-07-01,4426.479
2022-08-01,11247.468
2022-09-01,11456.474
2022-10-01,3232.256
2022-11-01,8587.012
2022-12-01,10704.089
2023-01-01,8392.337
2023-02-01,1335.188
2023-03-01,2787.89
2023-04-01,10448.335
2023-05-01,9032.186
2023-06-01,9239.575
2023-07-01,2618.003
2023-08-01,8859.28
2023-09-01,8108.637
2023-10-01,2420.631
2023-11-01,7929.725
2023-12-01,10528.25
2024-01-01,8493.68
2024-02-01,3561.283
2024-03-01,7913.946
2024-04-01,1562.312
2024-05-01,9391.018
2024-06-01,1002.664
2024-07-01,9664.226
2024-08-01,2152.077
2024-09-01,1630.102
2024-10-01,1599.006
2024-11-01,1981.412
2024-12-01,8293.125
2025-01-01,1865.733
2025-02-01,9185.585
2025-03-01,10918.93
2025-04-01,1697.196
2025-05-01,15349.396
2025-06-01,1750.358
2025-07-01,26286.213
2025-08-01,26274.744
