Tarih,TP_METALIHR_G681
2016-10-01,11247.64
2016-11-01,7292.543
2016-12-01,6427.563
2017-01-01,4226.131
2017-02-01,5273.004
2017-03-01,7056.649
2017-04-01,6806.042
2017-05-01,6814.169
2017-06-01,3489.088
2017-07-01,3447.917
2017-08-01,3380.667
2017-09-01,3475.398
2017-10-01,3486.793
2017-11-01,3108.679
2017-12-01,2550.388
2018-01-01,3707.007
2018-02-01,422.958
2018-03-01,4568.862
2018-04-01,4507.756
2018-05-01,1254.491
2018-06-01,307.741
2018-07-01,4216.152
2018-08-01,2611.637
2018-09-01,1398.092
2018-10-01,2006.584
2018-11-01,3026.84
2018-12-01,1880.571
2019-01-01,3021.455
2019-02-01,1253.312
2019-03-01,5175.15
2019-04-01,2989.183
2019-05-01,3827.678
2019-06-01,492.723
2019-07-01,2629.723
2019-08-01,4106.058
2019-09-01,4660.458
2019-10-01,7400.277
2019-11-01,7518.519
2019-12-01,4172.869
2020-01-01,11798.877
2020-02-01,9460.846
2020-03-01,13921.008
2020-04-01,5019.364
2020-05-01,8610.334
2020-06-01,11605.03
2020-07-01,26750.062
2020-08-01,16135.41
2020-09-01,19828.255
2020-10-01,6361.832
2020-11-01,12982.641
2020-12-01,9390.486
2021-01-01,9997.817
2021-02-01,25709.991
2021-03-01,23757.712
2021-04-01,59117.556
2021-05-01,38512.328
2021-06-01,47812.215
2021-07-01,36872.323
2021-08-01,27183.404
2021-09-01,22947.576
2021-10-01,40246.079
2021-11-01,40992.014
2021-12-01,44782.537
2022-01-01,46896.661
2022-02-01,48402.172
2022-03-01,62992.538
2022-04-01,76797.135
2022-05-01,51992.629
2022-06-01,56870.138
2022-07-01,64098.151
2022-08-01,60683.416
2022-09-01,66291.903
2022-10-01,65854.311
2022-11-01,69773.082
2022-12-01,84344.627
2023-01-01,34546.02
2023-02-01,22050.221
2023-03-01,36523.096
2023-04-01,70495.791
2023-05-01,64057.523
2023-06-01,53340.531
2023-07-01,37997.644
2023-08-01,51603.342
2023-09-01,56019.403
2023-10-01,100506.98
2023-11-01,119230.222
2023-12-01,66964.395
2024-01-01,6999.281
2024-02-01,6609.083
2024-03-01,7996.829
2024-04-01,4137.758
2024-05-01,9248.973
2024-06-01,5461.743
2024-07-01,7542.848
2024-08-01,8699.499
2024-09-01,35841.275
2024-10-01,31582.165
2024-11-01,15489.499
2024-12-01,16105.279
2025-01-01,16834.461
2025-02-01,16586.731
2025-03-01,10799.028
2025-04-01,14570.217
2025-05-01,13000.714
2025-06-01,26688.258
2025-07-01,14642.42
2025-08-01,11951.725
