Tarih,TP_METALIHR_G897
2016-10-01,410403.041
2016-11-01,376329.936
2016-12-01,446174.189
2017-01-01,267867.565
2017-02-01,339533.315
2017-03-01,426860.387
2017-04-01,442082.566
2017-05-01,388069.561
2017-06-01,313813.945
2017-07-01,361773.886
2017-08-01,405611.796
2017-09-01,272192.017
2017-10-01,285664.183
2017-11-01,317429.011
2017-12-01,346311.255
2018-01-01,248912.324
2018-02-01,281631.213
2018-03-01,439793.796
2018-04-01,400776.019
2018-05-01,390425.979
2018-06-01,331283.518
2018-07-01,391749.781
2018-08-01,346512.28
2018-09-01,356149.204
2018-10-01,470880.34
2018-11-01,456291.565
2018-12-01,336323.142
2019-01-01,372436.231
2019-02-01,399362.077
2019-03-01,506074.307
2019-04-01,497125.29
2019-05-01,507928.962
2019-06-01,305878.748
2019-07-01,403123.626
2019-08-01,314031.059
2019-09-01,334061.206
2019-10-01,414909.18
2019-11-01,659501.894
2019-12-01,437484.754
2020-01-01,393762.092
2020-02-01,483815.597
2020-03-01,246640.982
2020-04-01,4127.899
2020-05-01,30681.168
2020-06-01,175611.305
2020-07-01,306219.273
2020-08-01,234327.479
2020-09-01,354101.963
2020-10-01,450088.62
2020-11-01,494028.217
2020-12-01,436409.088
2021-01-01,364600.878
2021-02-01,475224.745
2021-03-01,547498.217
2021-04-01,600724.875
2021-05-01,387853.125
2021-06-01,625419.464
2021-07-01,538171.183
2021-08-01,554668.934
2021-09-01,618649.625
2021-10-01,770339.507
2021-11-01,787122.818
2021-12-01,627237.705
2022-01-01,569148.114
2022-02-01,693405.966
2022-03-01,593535.392
2022-04-01,737862.066
2022-05-01,592160.489
2022-06-01,763078.841
2022-07-01,547351.59
2022-08-01,747750.22
2022-09-01,748741.929
2022-10-01,881546.952
2022-11-01,753260.566
2022-12-01,643454.47
2023-01-01,563596.61
2023-02-01,593473.301
2023-03-01,713917.96
2023-04-01,560049.134
2023-05-01,651841.883
2023-06-01,764926.715
2023-07-01,615915.743
2023-08-01,732003.584
2023-09-01,837099.409
2023-10-01,849485.296
2023-11-01,900535.756
2023-12-01,710201.978
2024-01-01,685462.673
2024-02-01,753343.447
2024-03-01,829571.516
2024-04-01,590616.894
2024-05-01,893574.615
2024-06-01,631664.084
2024-07-01,776753.426
2024-08-01,849827.939
2024-09-01,786318.549
2024-10-01,844904.084
2024-11-01,855719.788
2024-12-01,816716.335
2025-01-01,1156414.877
2025-02-01,971927.636
2025-03-01,724449.753
2025-04-01,685618.435
2025-05-01,1051336.736
2025-06-01,505752.107
2025-07-01,754773.579
2025-08-01,847247.458
