Tarih,TP_PBD_T07
2000-01-01,738072.0
2000-02-01,835574.0
2000-03-01,984600.0
2000-04-01,957131.0
2000-05-01,992998.0
2000-06-01,1075771.0
2000-07-01,980266.0
2000-08-01,962719.0
2000-09-01,1141479.0
2000-10-01,1148893.0
2000-11-01,1022112.0
2000-12-01,1101246.0
2001-01-01,1086475.0
2001-02-01,1178934.0
2001-03-01,1105659.0
2001-04-01,1247389.0
2001-05-01,1238873.0
2001-06-01,1466499.0
2001-07-01,1364505.0
2001-08-01,1595164.0
2001-09-01,1513944.0
2001-10-01,1542435.0
2001-11-01,1464306.0
2001-12-01,1391917.0
2002-01-01,1284372.0
2002-02-01,1209457.0
2002-03-01,1150197.0
2002-04-01,1077707.0
2002-05-01,1115049.0
2002-06-01,1205198.0
2002-07-01,1289685.0
2002-08-01,1359428.0
2002-09-01,1361003.0
2002-10-01,1410834.0
2002-11-01,1376790.0
2002-12-01,1444897.0
2003-01-01,1454518.0
2003-02-01,1365340.0
2003-03-01,1441576.0
2003-04-01,1462788.0
2003-05-01,1471366.0
2003-06-01,1503507.0
2003-07-01,1632349.0
2003-08-01,1657933.0
2003-09-01,1717902.0
2003-10-01,1799603.0
2003-11-01,1809765.0
2003-12-01,1746123.0
2004-01-01,1675710.0
2004-02-01,1502667.0
2004-03-01,1580073.0
2004-04-01,1677209.0
2004-05-01,1918670.0
2004-06-01,1937519.0
2004-07-01,2031473.0
2004-08-01,2160878.0
2004-09-01,2265536.0
2004-10-01,2263399.0
2004-11-01,2315019.0
2004-12-01,2919395.0
2005-01-01,2126023.0
2005-02-01,2428515.0
2005-03-01,2122779.0
2005-04-01,2063310.0
2005-05-01,2119952.0
2005-06-01,2700733.0
2005-07-01,2132367.0
2005-08-01,2174386.0
2005-09-01,2874985.0
2005-10-01,2101766.0
2005-11-01,2069887.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
2023-01-01,
2023-02-01,
2023-03-01,
2023-04-01,
2023-05-01,
2023-06-01,
2023-07-01,
2023-08-01,
2023-09-01,
2023-10-01,
2023-11-01,
2023-12-01,
2024-01-01,
2024-02-01,
2024-03-01,
