Tarih,TP_KYBKATFON_KB6,TP_KYBKATFON_KB6
2007-05-25,2007-21,5074.7
2007-06-01,2007-22,
2007-06-08,2007-23,
2007-06-15,2007-24,
2007-06-22,2007-25,
2007-06-29,2007-26,5219.5
2007-07-06,2007-27,
2007-07-13,2007-28,
2007-07-20,2007-29,
2007-07-27,2007-30,5433.66
2007-08-03,2007-31,5461.88
2007-08-10,2007-32,5430.62
2007-08-17,2007-33,5177.71
2007-08-24,2007-34,5092.99
2007-08-31,2007-35,5061.49
2007-09-07,2007-36,5116.0
2007-09-14,2007-37,5200.75
2007-09-21,2007-38,5422.85
2007-09-28,2007-39,5498.5
2007-10-05,2007-40,5473.03
2007-10-12,2007-41,5558.91
2007-10-19,2007-42,5623.68
2007-10-26,2007-43,5782.38
2007-11-02,2007-44,5868.13
2007-11-09,2007-45,5975.92
2007-11-16,2007-46,5942.83
2007-11-23,2007-47,5874.89
2007-11-30,2007-48,5815.47
2007-12-07,2007-49,5820.51
2007-12-14,2007-50,5929.04
2007-12-21,2007-51,5837.74
2007-12-28,2007-52,5873.75
2008-01-04,2008-1,5908.81
2008-01-11,2008-2,5884.05
2008-01-18,2008-3,5799.45
2008-01-25,2008-4,5764.47
2008-02-01,2008-5,5882.25
2008-02-08,2008-6,5832.01
2008-02-15,2008-7,5837.16
2008-02-22,2008-8,5837.58
2008-02-29,2008-9,5850.75
2008-03-07,2008-10,5744.43
2008-03-14,2008-11,5852.72
2008-03-21,2008-12,5920.44
2008-03-28,2008-13,5877.51
2008-04-04,2008-14,5851.39
2008-04-11,2008-15,5960.1
2008-04-18,2008-16,5988.08
2008-04-25,2008-17,6159.64
2008-05-02,2008-18,6295.05
2008-05-09,2008-19,6305.62
2008-05-16,2008-20,6398.66
2008-05-23,2008-21,6524.86
2008-05-30,2008-22,6640.33
2008-06-06,2008-23,6720.1
2008-06-13,2008-24,6784.6
2008-06-20,2008-25,6916.3
2008-06-27,2008-26,6991.43
2008-07-04,2008-27,6888.62
2008-07-11,2008-28,6974.0
2008-07-18,2008-29,7114.98
2008-07-25,2008-30,7187.96
2008-08-01,2008-31,7198.75
2008-08-08,2008-32,7188.36
2008-08-15,2008-33,7086.73
2008-08-22,2008-34,7078.66
2008-08-29,2008-35,7030.11
2008-09-05,2008-36,6872.07
2008-09-12,2008-37,6770.37
2008-09-19,2008-38,6723.53
2008-09-26,2008-39,6748.73
2008-10-03,2008-40,6637.52
2008-10-10,2008-41,6184.11
2008-10-17,2008-42,5866.76
2008-10-24,2008-43,5502.83
2008-10-31,2008-44,5475.93
2008-11-07,2008-45,5458.14
2008-11-14,2008-46,5339.77
2008-11-21,2008-47,5109.02
2008-11-28,2008-48,5207.51
2008-12-05,2008-49,5164.97
2008-12-12,2008-50,5196.37
2008-12-19,2008-51,5470.92
2008-12-26,2008-52,5345.86
2009-01-02,2009-1,5442.06
2009-01-09,2009-2,5317.55
2009-01-16,2009-3,5261.01
2009-01-23,2009-4,5292.3
2009-01-30,2009-5,5317.06
2009-02-06,2009-6,5305.26
2009-02-13,2009-7,5288.63
2009-02-20,2009-8,5195.99
2009-02-27,2009-9,5169.79
2009-03-06,2009-10,5038.43
2009-03-13,2009-11,5083.63
2009-03-20,2009-12,5216.53
2009-03-27,2009-13,5302.59
2009-04-03,2009-14,5377.54
2009-04-10,2009-15,5464.09
2009-04-17,2009-16,5600.18
2009-04-24,2009-17,5437.5
2009-05-01,2009-18,5530.6
2009-05-08,2009-19,5644.16
2009-05-15,2009-20,5652.87
2009-05-22,2009-21,
2009-05-29,2009-22,5791.88
2009-06-05,2009-23,5818.76
2009-06-12,2009-24,5859.93
2009-06-19,2009-25,5908.68
2009-06-26,2009-26,5997.33
2009-07-03,2009-27,6101.41
2009-07-10,2009-28,6064.77
2009-07-17,2009-29,6190.94
2009-07-24,2009-30,6230.89
2009-07-31,2009-31,6350.73
2009-08-07,2009-32,6437.62
2009-08-14,2009-33,6508.75
2009-08-21,2009-34,6454.82
2009-08-28,2009-35,6503.53
2009-09-04,2009-36,6424.74
2009-09-11,2009-37,6454.89
2009-09-18,2009-38,6608.54
2009-09-25,2009-39,6627.69
2009-10-02,2009-40,6576.44
2009-10-09,2009-41,6644.27
2009-10-16,2009-42,6652.57
2009-10-23,2009-43,6721.24
2009-10-30,2009-44,6608.17
2009-11-06,2009-45,6574.1
2009-11-13,2009-46,6559.01
2009-11-20,2009-47,6551.14
2009-11-27,2009-48,6565.09
2009-12-04,2009-49,6546.32
2009-12-11,2009-50,6550.86
2009-12-18,2009-51,6495.41
2009-12-25,2009-52,6613.69
2010-01-01,2010-1,6670.9
2010-01-08,2010-2,6405.52
2010-01-15,2010-3,6796.86
2010-01-22,2010-4,6842.44
2010-01-29,2010-5,6827.16
2010-02-05,2010-6,6659.3
2010-02-12,2010-7,6607.46
2010-02-19,2010-8,6561.65
2010-02-26,2010-9,6493.89
2010-03-05,2010-10,6430.4
2010-03-12,2010-11,6478.82
2010-03-19,2010-12,6499.28
2010-03-26,2010-13,6480.55
2010-04-02,2010-14,6588.98
2010-04-09,2010-15,6711.51
2010-04-16,2010-16,6871.1
2010-04-23,2010-17,6819.71
2010-04-30,2010-18,6946.52
2010-05-07,2010-19,6521.33
2010-05-14,2010-20,6552.38
2010-05-21,2010-21,6428.01
2010-05-28,2010-22,6396.02
2010-06-04,2010-23,6400.15
2010-06-11,2010-24,6392.43
2010-06-18,2010-25,6508.58
2010-06-25,2010-26,6496.38
2010-07-02,2010-27,6436.73
2010-07-09,2010-28,6561.83
2010-07-16,2010-29,6651.52
2010-07-23,2010-30,6807.75
2010-07-30,2010-31,6928.42
2010-08-06,2010-32,7183.34
2010-08-13,2010-33,7182.17
2010-08-20,2010-34,7345.45
2010-08-27,2010-35,7277.09
2010-09-03,2010-36,7294.31
2010-09-10,2010-37,7317.51
2010-09-17,2010-38,7420.91
2010-09-24,2010-39,7542.96
2010-10-01,2010-40,7751.53
2010-10-08,2010-41,8096.95
2010-10-15,2010-42,7957.92
2010-10-22,2010-43,7945.37
2010-10-29,2010-44,7976.73
2010-11-05,2010-45,8115.2
2010-11-12,2010-46,8095.7
2010-11-19,2010-47,
2010-11-26,2010-48,7648.95
2010-12-03,2010-49,7576.31
2010-12-10,2010-50,7577.34
2010-12-17,2010-51,7275.49
2010-12-24,2010-52,7127.42
2010-12-31,2010-53,7236.93
2011-01-07,2011-1,7056.34
2011-01-14,2011-2,7064.35
2011-01-21,2011-3,7045.62
2011-01-28,2011-4,7041.03
2011-02-04,2011-5,6910.16
2011-02-11,2011-6,7022.13
2011-02-18,2011-7,7051.71
2011-02-25,2011-8,7064.54
2011-03-04,2011-9,7063.77
2011-03-11,2011-10,7110.83
2011-03-18,2011-11,7218.25
2011-03-25,2011-12,7220.54
2011-04-01,2011-13,7353.38
2011-04-08,2011-14,7496.66
2011-04-15,2011-15,7583.31
2011-04-22,2011-16,7558.09
2011-04-29,2011-17,7627.26
2011-05-06,2011-18,7599.91
2011-05-13,2011-19,7339.56
2011-05-20,2011-20,7283.75
2011-05-27,2011-21,7171.72
2011-06-03,2011-22,7149.61
2011-06-10,2011-23,7108.23
2011-06-17,2011-24,7013.9
2011-06-24,2011-25,6976.87
2011-07-01,2011-26,6887.04
2011-07-08,2011-27,6912.05
2011-07-15,2011-28,6800.5
2011-07-22,2011-29,6911.78
2011-07-29,2011-30,6810.47
2011-08-05,2011-31,6638.94
2011-08-12,2011-32,6582.45
2011-08-19,2011-33,6643.11
2011-08-26,2011-34,6763.5
2011-09-02,2011-35,6772.44
2011-09-09,2011-36,6687.68
2011-09-16,2011-37,6634.49
2011-09-23,2011-38,6533.58
2011-09-30,2011-39,6462.93
2011-10-07,2011-40,6584.47
2011-10-14,2011-41,
2011-10-21,2011-42,8688.61
2011-10-28,2011-43,8903.11
2011-11-04,2011-44,8919.97
2011-11-11,2011-45,8794.53
2011-11-18,2011-46,8814.24
2011-11-25,2011-47,8534.29
2011-12-02,2011-48,8512.51
2011-12-09,2011-49,8507.7
2011-12-16,2011-50,8534.24
2011-12-23,2011-51,8629.8
2011-12-30,2011-52,8880.56
2012-01-06,2012-1,8865.3
2012-01-13,2012-2,8854.24
2012-01-20,2012-3,9073.82
2012-01-27,2012-4,9139.34
2012-02-03,2012-5,8487.47
2012-02-10,2012-6,8615.65
2012-02-17,2012-7,8691.06
2012-02-24,2012-8,8799.11
2012-03-02,2012-9,8948.09
2012-03-09,2012-10,8977.71
2012-03-16,2012-11,9134.33
2012-03-23,2012-12,9344.14
2012-03-30,2012-13,9414.4
2012-04-06,2012-14,9410.93
2012-04-13,2012-15,9495.14
2012-04-20,2012-16,9621.35
2012-04-27,2012-17,9806.72
2012-05-04,2012-18,9884.06
2012-05-11,2012-19,9825.12
2012-05-18,2012-20,9896.38
2012-05-25,2012-21,9831.0
2012-06-01,2012-22,9798.21
2012-06-08,2012-23,9882.46
2012-06-15,2012-24,10114.35
2012-06-22,2012-25,10256.89
2012-06-29,2012-26,10262.4
2012-07-06,2012-27,10173.32
2012-07-13,2012-28,10251.38
2012-07-20,2012-29,10321.21
2012-07-27,2012-30,10312.4
2012-08-03,2012-31,10559.32
2012-08-10,2012-32,10605.25
2012-08-17,2012-33,10744.89
2012-08-24,2012-34,10890.5
2012-08-31,2012-35,10624.64
2012-09-07,2012-36,10534.93
2012-09-14,2012-37,10764.74
2012-09-21,2012-38,10677.11
2012-09-28,2012-39,10612.36
2012-10-05,2012-40,10534.24
2012-10-12,2012-41,10590.48
2012-10-19,2012-42,10667.81
2012-10-26,2012-43,10719.55
2012-11-02,2012-44,10818.77
2012-11-09,2012-45,11003.58
2012-11-16,2012-46,10918.89
2012-11-23,2012-47,11090.45
2012-11-30,2012-48,11048.1
2012-12-07,2012-49,11052.18
2012-12-14,2012-50,11152.21
2012-12-21,2012-51,11172.24
2012-12-28,2012-52,11156.19
2013-01-04,2013-1,11530.81
2013-01-11,2013-2,11682.17
2013-01-18,2013-3,11856.14
2013-01-25,2013-4,11901.08
2013-02-01,2013-5,12058.49
2013-02-08,2013-6,12141.03
2013-02-15,2013-7,12205.13
2013-02-22,2013-8,12177.87
2013-03-01,2013-9,12009.98
2013-03-08,2013-10,12081.22
2013-03-15,2013-11,12000.69
2013-03-22,2013-12,11973.29
2013-03-29,2013-13,11998.47
2013-04-05,2013-14,12057.1
2013-04-12,2013-15,12162.6
2013-04-19,2013-16,12269.82
2013-04-26,2013-17,12468.99
2013-05-03,2013-18,12521.55
2013-05-10,2013-19,12445.52
2013-05-17,2013-20,12162.01
2013-05-24,2013-21,12150.44
2013-05-31,2013-22,12035.56
2013-06-07,2013-23,11806.37
2013-06-14,2013-24,11714.88
2013-06-21,2013-25,11566.63
2013-06-28,2013-26,11185.76
2013-07-05,2013-27,10974.8
2013-07-12,2013-28,11165.68
2013-07-19,2013-29,11246.67
2013-07-26,2013-30,11504.62
2013-08-02,2013-31,11475.87
2013-08-09,2013-32,11500.79
2013-08-16,2013-33,11676.29
2013-08-23,2013-34,11597.59
2013-08-30,2013-35,11531.15
2013-09-06,2013-36,11338.37
2013-09-13,2013-37,11283.9
2013-09-20,2013-38,
2013-09-27,2013-39,11651.63
2013-10-04,2013-40,11796.87
2013-10-11,2013-41,11889.56
2013-10-18,2013-42,
2013-10-25,2013-43,12327.94
2013-11-01,2013-44,12181.81
2013-11-08,2013-45,12103.82
2013-11-15,2013-46,12223.49
2013-11-22,2013-47,12279.83
2013-11-29,2013-48,12502.75
2013-12-06,2013-49,12458.03
2013-12-13,2013-50,12436.39
2013-12-20,2013-51,11760.54
2013-12-27,2013-52,12007.63
2014-01-03,2014-1,11560.47
2014-01-10,2014-2,11485.73
2014-01-17,2014-3,11212.11
2014-01-24,2014-4,11366.17
2014-01-31,2014-5,11195.57
2014-02-07,2014-6,11273.74
2014-02-14,2014-7,11411.27
2014-02-21,2014-8,11406.43
2014-02-28,2014-9,11448.55
2014-03-07,2014-10,11756.31
2014-03-14,2014-11,11393.42
2014-03-21,2014-12,11312.23
2014-03-28,2014-13,11497.51
2014-04-04,2014-14,11576.69
2014-04-11,2014-15,11734.65
2014-04-18,2014-16,11756.19
2014-04-25,2014-17,11907.3
2014-05-02,2014-18,12002.59
2014-05-09,2014-19,12174.4
2014-05-16,2014-20,12260.81
2014-05-23,2014-21,12384.05
2014-05-30,2014-22,12469.54
2014-06-06,2014-23,12558.84
2014-06-13,2014-24,12685.98
2014-06-20,2014-25,12807.77
2014-06-27,2014-26,12823.4
2014-07-04,2014-27,12562.33
2014-07-11,2014-28,12585.42
2014-07-18,2014-29,12550.27
2014-07-25,2014-30,12736.09
2014-08-01,2014-31,12506.72
2014-08-08,2014-32,12135.37
2014-08-15,2014-33,11855.89
2014-08-22,2014-34,11961.57
2014-08-29,2014-35,11926.18
2014-09-05,2014-36,11913.7
2014-09-12,2014-37,11957.76
2014-09-19,2014-38,11948.58
2014-09-26,2014-39,11799.74
2014-10-03,2014-40,11946.82
2014-10-10,2014-41,11930.12
2014-10-17,2014-42,11954.81
2014-10-24,2014-43,12221.25
2014-10-31,2014-44,12358.11
2014-11-07,2014-45,12362.95
2014-11-14,2014-46,12426.87
2014-11-21,2014-47,12524.28
2014-11-28,2014-48,12460.6
2014-12-05,2014-49,12207.03
2014-12-12,2014-50,11903.75
2014-12-19,2014-51,11437.0
2014-12-26,2014-52,11440.98
2015-01-02,2015-1,11521.38
2015-01-09,2015-2,11654.72
2015-01-16,2015-3,11654.53
2015-01-23,2015-4,11503.9
2015-01-30,2015-5,11084.29
2015-02-06,2015-6,10857.13
2015-02-13,2015-7,10868.63
2015-02-20,2015-8,10936.7
2015-02-27,2015-9,10729.21
2015-03-06,2015-10,10549.04
2015-03-13,2015-11,10437.43
2015-03-20,2015-12,10678.82
2015-03-27,2015-13,10700.26
2015-04-03,2015-14,10895.7
2015-04-10,2015-15,10717.56
2015-04-17,2015-16,10595.96
2015-04-24,2015-17,10605.67
2015-05-01,2015-18,10939.43
2015-05-08,2015-19,11009.04
2015-05-15,2015-20,11438.94
2015-05-22,2015-21,11499.84
2015-05-29,2015-22,11484.37
2015-06-05,2015-23,11561.46
2015-06-12,2015-24,11933.19
2015-06-19,2015-25,12511.72
2015-06-26,2015-26,12589.9
2015-07-03,2015-27,12498.39
2015-07-10,2015-28,12698.27
2015-07-17,2015-29,12841.64
2015-07-24,2015-30,12507.52
2015-07-31,2015-31,12271.54
2015-08-07,2015-32,12247.46
2015-08-14,2015-33,12285.65
2015-08-21,2015-34,12247.76
2015-08-28,2015-35,12159.82
2015-09-04,2015-36,11918.85
2015-09-11,2015-37,11954.59
2015-09-18,2015-38,12157.7
2015-09-25,2015-39,12137.28
2015-10-02,2015-40,12018.68
2015-10-09,2015-41,12358.76
2015-10-16,2015-42,12450.15
2015-10-23,2015-43,12419.53
2015-10-30,2015-44,12390.13
2015-11-06,2015-45,11957.3
2015-11-13,2015-46,11976.58
2015-11-20,2015-47,12027.95
2015-11-27,2015-48,11959.04
2015-12-04,2015-49,11943.46
2015-12-11,2015-50,11835.35
2015-12-18,2015-51,11844.25
2015-12-25,2015-52,11783.52
2016-01-01,2016-1,11808.98
2016-01-08,2016-2,11374.26
2016-01-15,2016-3,11027.9
2016-01-22,2016-4,11070.0
2016-01-29,2016-5,11173.19
2016-02-05,2016-6,11551.81
2016-02-12,2016-7,11661.28
2016-02-19,2016-8,11552.55
2016-02-26,2016-9,11654.77
2016-03-04,2016-10,11799.04
2016-03-11,2016-11,12022.29
2016-03-18,2016-12,12022.29
2016-03-25,2016-13,12030.78
2016-04-01,2016-14,12224.8
2016-04-08,2016-15,12173.51
2016-04-15,2016-16,12171.25
2016-04-22,2016-17,12302.39
2016-04-29,2016-18,12471.77
2016-05-06,2016-19,11868.03
2016-05-13,2016-20,11660.36
2016-05-20,2016-21,11372.85
2016-05-27,2016-22,11384.72
2016-06-03,2016-23,11544.15
2016-06-10,2016-24,11674.69
2016-06-17,2016-25,11606.86
2016-06-24,2016-26,11675.0
2016-07-01,2016-27,11769.2
2016-07-08,2016-28,11759.52
2016-07-15,2016-29,11856.63
2016-07-22,2016-30,10687.28
2016-07-29,2016-31,10293.02
2016-08-05,2016-32,10227.42
2016-08-12,2016-33,10174.85
2016-08-19,2016-34,10251.76
2016-08-26,2016-35,10216.02
2016-09-02,2016-36,10200.48
2016-09-09,2016-37,10296.43
2016-09-16,2016-38,10215.84
2016-09-23,2016-39,10239.17
2016-09-30,2016-40,9941.03
2016-10-07,2016-41,9777.71
2016-10-14,2016-42,9692.31
2016-10-21,2016-43,9745.58
2016-10-28,2016-44,9659.16
2016-11-04,2016-45,9593.59
2016-11-11,2016-46,9536.78
2016-11-18,2016-47,9653.79
2016-11-25,2016-48,9700.25
2016-12-02,2016-49,9624.48
2016-12-09,2016-50,9459.05
2016-12-16,2016-51,9489.92
2016-12-23,2016-52,9563.24
2016-12-30,2016-53,9703.05
2017-01-06,2017-1,9389.12
2017-01-13,2017-2,9720.64
2017-01-20,2017-3,9710.21
2017-01-27,2017-4,9711.68
2017-02-03,2017-5,9959.73
2017-02-10,2017-6,10034.95
2017-02-17,2017-7,10182.18
2017-02-24,2017-8,10182.09
2017-03-03,2017-9,10144.13
2017-03-10,2017-10,10098.82
2017-03-17,2017-11,10476.38
2017-03-24,2017-12,10497.08
2017-03-31,2017-13,10536.86
2017-04-07,2017-14,10387.57
2017-04-14,2017-15,10387.57
