Tarih,TP_ZORUNDTH_KB8,TP_ZORUNDTH_KB8
2007-04-13,2007-15,118044.4
2007-04-20,2007-16,118364.0
2007-04-27,2007-17,116816.27
2007-05-04,2007-18,117353.29
2007-05-11,2007-19,117347.25
2007-05-18,2007-20,116284.54
2007-05-25,2007-21,117651.56
2007-06-01,2007-22,116974.31
2007-06-08,2007-23,116509.98
2007-06-15,2007-24,117768.86
2007-06-22,2007-25,116543.3
2007-06-29,2007-26,117994.0
2007-07-06,2007-27,117236.01
2007-07-13,2007-28,118559.61
2007-07-20,2007-29,119080.21
2007-07-27,2007-30,117700.2
2007-08-03,2007-31,117325.48
2007-08-10,2007-32,116326.16
2007-08-17,2007-33,123232.8
2007-08-24,2007-34,118765.73
2007-08-31,2007-35,120477.19
2007-09-07,2007-36,118169.85
2007-09-14,2007-37,117279.1
2007-09-21,2007-38,116935.5
2007-09-28,2007-39,115501.77
2007-10-05,2007-40,114911.6
2007-10-12,2007-41,113578.36
2007-10-19,2007-42,116927.37
2007-10-26,2007-43,117322.15
2007-11-02,2007-44,115487.09
2007-11-09,2007-45,117341.58
2007-11-16,2007-46,115830.59
2007-11-23,2007-47,117135.6
2007-11-30,2007-48,116219.72
2007-12-07,2007-49,114511.18
2007-12-14,2007-50,115669.48
2007-12-21,2007-51,116050.19
2007-12-28,2007-52,117827.78
2008-01-04,2008-1,118847.02
2008-01-11,2008-2,117722.3
2008-01-18,2008-3,118870.32
2008-01-25,2008-4,119638.09
2008-02-01,2008-5,119172.15
2008-02-08,2008-6,119414.86
2008-02-15,2008-7,119616.83
2008-02-22,2008-8,120062.6
2008-02-29,2008-9,119471.88
2008-03-07,2008-10,120753.42
2008-03-14,2008-11,125022.29
2008-03-21,2008-12,124532.18
2008-03-28,2008-13,127083.83
2008-04-04,2008-14,128286.9
2008-04-11,2008-15,132394.49
2008-04-18,2008-16,134496.06
2008-04-25,2008-17,134218.88
2008-05-02,2008-18,133676.34
2008-05-09,2008-19,133240.97
2008-05-16,2008-20,132481.48
2008-05-23,2008-21,135248.34
2008-05-30,2008-22,133110.99
2008-06-06,2008-23,133006.84
2008-06-13,2008-24,134274.32
2008-06-20,2008-25,133827.53
2008-06-27,2008-26,134635.64
2008-07-04,2008-27,137594.46
2008-07-11,2008-28,134756.57
2008-07-18,2008-29,135397.42
2008-07-25,2008-30,137028.56
2008-08-01,2008-31,133534.33
2008-08-08,2008-32,134212.38
2008-08-15,2008-33,130892.07
2008-08-22,2008-34,131709.97
2008-08-29,2008-35,131481.44
2008-09-05,2008-36,132646.59
2008-09-12,2008-37,133543.85
2008-09-19,2008-38,137484.75
2008-09-26,2008-39,134221.94
2008-10-03,2008-40,133771.32
2008-10-10,2008-41,140266.95
2008-10-17,2008-42,145910.65
2008-10-24,2008-43,159494.89
2008-10-31,2008-44,142927.5
2008-11-07,2008-45,145084.12
2008-11-14,2008-46,151348.62
2008-11-21,2008-47,155016.56
2008-11-28,2008-48,147915.35
2008-12-05,2008-49,147370.95
2008-12-12,2008-50,149593.27
2008-12-19,2008-51,152835.25
2008-12-26,2008-52,150347.56
2009-01-02,2009-1,151228.31
2009-01-09,2009-2,150476.56
2009-01-16,2009-3,154773.12
2009-01-23,2009-4,155171.43
2009-01-30,2009-5,152580.33
2009-02-06,2009-6,153825.6
2009-02-13,2009-7,153029.02
2009-02-20,2009-8,152320.79
2009-02-27,2009-9,153932.64
2009-03-06,2009-10,155835.14
2009-03-13,2009-11,161650.18
2009-03-20,2009-12,158429.77
2009-03-27,2009-13,158437.13
2009-04-03,2009-14,156668.98
2009-04-10,2009-15,153826.66
2009-04-17,2009-16,155618.44
2009-04-24,2009-17,157530.63
2009-05-01,2009-18,155583.14
2009-05-08,2009-19,152068.9
2009-05-15,2009-20,156882.31
2009-05-22,2009-21,154607.45
2009-05-29,2009-22,155324.1
2009-06-05,2009-23,155487.32
2009-06-12,2009-24,154159.5
2009-06-19,2009-25,154755.62
2009-06-26,2009-26,155028.75
2009-07-03,2009-27,154454.89
2009-07-10,2009-28,155082.9
2009-07-17,2009-29,155286.71
2009-07-24,2009-30,154333.53
2009-07-31,2009-31,154466.09
2009-08-07,2009-32,157682.93
2009-08-14,2009-33,156962.64
2009-08-21,2009-34,157642.19
2009-08-28,2009-35,158696.12
2009-09-04,2009-36,158768.46
2009-09-11,2009-37,160794.05
2009-09-18,2009-38,160140.2
2009-09-25,2009-39,162031.21
2009-10-02,2009-40,161379.93
2009-10-09,2009-41,159319.39
2009-10-16,2009-42,160960.89
2009-10-23,2009-43,160640.27
2009-10-30,2009-44,162278.14
2009-11-06,2009-45,160506.22
2009-11-13,2009-46,161958.37
2009-11-20,2009-47,162479.09
2009-11-27,2009-48,161175.79
2009-12-04,2009-49,160426.46
2009-12-11,2009-50,160791.44
2009-12-18,2009-51,160974.87
2009-12-25,2009-52,162949.04
2010-01-01,2010-1,160346.94
2010-01-08,2010-2,159974.02
2010-01-15,2010-3,161086.81
2010-01-22,2010-4,161455.18
2010-01-29,2010-5,160769.81
2010-02-05,2010-6,160696.15
2010-02-12,2010-7,160482.09
2010-02-19,2010-8,159753.52
2010-02-26,2010-9,160405.8
2010-03-05,2010-10,158539.12
2010-03-12,2010-11,159405.47
2010-03-19,2010-12,159702.1
2010-03-26,2010-13,159825.85
2010-04-02,2010-14,160971.47
2010-04-09,2010-15,160111.74
2010-04-16,2010-16,162075.56
2010-04-23,2010-17,161443.04
2010-04-30,2010-18,161796.94
2010-05-07,2010-19,164294.6
2010-05-14,2010-20,159805.36
2010-05-21,2010-21,161483.64
2010-05-28,2010-22,157494.9
2010-06-04,2010-23,157965.64
2010-06-11,2010-24,157706.69
2010-06-18,2010-25,157739.98
2010-06-25,2010-26,160385.0
2010-07-02,2010-27,160926.5
2010-07-09,2010-28,161743.01
2010-07-16,2010-29,162174.34
2010-07-23,2010-30,163896.24
2010-07-30,2010-31,163394.14
2010-08-06,2010-32,164692.32
2010-08-13,2010-33,164467.19
2010-08-20,2010-34,164011.56
2010-08-27,2010-35,165115.25
2010-09-03,2010-36,164455.14
2010-09-10,2010-37,164267.76
2010-09-17,2010-38,165841.48
2010-09-24,2010-39,167960.9
2010-10-01,2010-40,167823.42
2010-10-08,2010-41,169119.12
2010-10-15,2010-42,168235.65
2010-10-22,2010-43,170702.46
2010-10-29,2010-44,170487.56
2010-11-05,2010-45,170994.37
2010-11-12,2010-46,172441.21
2010-11-19,2010-47,
2010-11-26,2010-48,166448.83
2010-12-03,2010-49,170255.08
2010-12-10,2010-50,170257.49
2010-12-17,2010-51,171301.51
2010-12-24,2010-52,171805.69
2010-12-31,2010-53,170591.16
2011-01-07,2011-1,168154.9
2011-01-14,2011-2,167667.7
2011-01-21,2011-3,170884.86
2011-01-28,2011-4,170951.15
2011-02-04,2011-5,169681.88
2011-02-11,2011-6,168307.33
2011-02-18,2011-7,170742.75
2011-02-25,2011-8,175184.59
2011-03-04,2011-9,174815.17
2011-03-11,2011-10,174471.89
2011-03-18,2011-11,176506.97
2011-03-25,2011-12,179272.91
2011-04-01,2011-13,178003.17
2011-04-08,2011-14,177747.72
2011-04-15,2011-15,180095.8
2011-04-22,2011-16,179669.18
2011-04-29,2011-17,178946.86
2011-05-06,2011-18,179819.08
2011-05-13,2011-19,180919.16
2011-05-20,2011-20,179914.75
2011-05-27,2011-21,182304.43
2011-06-03,2011-22,179336.48
2011-06-10,2011-23,180850.78
2011-06-17,2011-24,184378.5
2011-06-24,2011-25,186711.03
2011-07-01,2011-26,182478.42
2011-07-08,2011-27,183918.98
2011-07-15,2011-28,186737.05
2011-07-22,2011-29,190288.66
2011-07-29,2011-30,189350.72
2011-08-05,2011-31,194363.63
2011-08-12,2011-32,198501.04
2011-08-19,2011-33,199883.05
2011-08-26,2011-34,198040.59
2011-09-02,2011-35,197497.05
2011-09-09,2011-36,200202.85
2011-09-16,2011-37,200560.56
2011-09-23,2011-38,203342.36
2011-09-30,2011-39,203340.92
2011-10-07,2011-40,203699.69
2011-10-14,2011-41,217335.29
2011-10-21,2011-42,219713.7
2011-10-28,2011-43,212726.33
2011-11-04,2011-44,212546.73
2011-11-11,2011-45,215128.87
2011-11-18,2011-46,217354.44
2011-11-25,2011-47,220605.76
2011-12-02,2011-48,216905.63
2011-12-09,2011-49,219705.06
2011-12-16,2011-50,223333.27
2011-12-23,2011-51,224751.2
2011-12-30,2011-52,222476.57
2012-01-06,2012-1,222378.71
2012-01-13,2012-2,220377.99
2012-01-20,2012-3,219912.52
2012-01-27,2012-4,219458.13
2012-02-03,2012-5,217914.43
2012-02-10,2012-6,219846.95
2012-02-17,2012-7,220844.63
2012-02-24,2012-8,223918.49
2012-03-02,2012-9,223496.43
2012-03-09,2012-10,225691.01
2012-03-16,2012-11,227922.8
2012-03-23,2012-12,228387.13
2012-03-30,2012-13,226565.53
2012-04-06,2012-14,227214.65
2012-04-13,2012-15,229474.79
2012-04-20,2012-16,230982.1
2012-04-27,2012-17,228175.04
2012-05-04,2012-18,228217.64
2012-05-11,2012-19,231613.98
2012-05-18,2012-20,235508.37
2012-05-25,2012-21,234854.74
2012-06-01,2012-22,237155.22
2012-06-08,2012-23,235109.93
2012-06-15,2012-24,235069.21
2012-06-22,2012-25,235387.44
2012-06-29,2012-26,236398.47
2012-07-06,2012-27,236343.95
2012-07-13,2012-28,235143.03
2012-07-20,2012-29,234370.95
2012-07-27,2012-30,234199.93
2012-08-03,2012-31,230985.27
2012-08-10,2012-32,232206.7
2012-08-17,2012-33,232316.89
2012-08-24,2012-34,231656.72
2012-08-31,2012-35,231076.91
2012-09-07,2012-36,231131.79
2012-09-14,2012-37,233478.62
2012-09-21,2012-38,232228.46
2012-09-28,2012-39,230829.27
2012-10-05,2012-40,231792.47
2012-10-12,2012-41,232682.27
2012-10-19,2012-42,232559.25
2012-10-26,2012-43,233092.35
2012-11-02,2012-44,231770.18
2012-11-09,2012-45,231712.04
2012-11-16,2012-46,231312.8
2012-11-23,2012-47,232381.91
2012-11-30,2012-48,231199.72
2012-12-07,2012-49,231755.04
2012-12-14,2012-50,233183.29
2012-12-21,2012-51,236826.55
2012-12-28,2012-52,239477.15
2013-01-04,2013-1,234967.16
2013-01-11,2013-2,236444.03
2013-01-18,2013-3,240028.0
2013-01-25,2013-4,241278.22
2013-02-01,2013-5,240712.0
2013-02-08,2013-6,241196.0
2013-02-15,2013-7,239082.21
2013-02-22,2013-8,239510.37
2013-03-01,2013-9,238500.67
2013-03-08,2013-10,238498.55
2013-03-15,2013-11,241309.0
2013-03-22,2013-12,240628.82
2013-03-29,2013-13,240457.46
2013-04-05,2013-14,242571.01
2013-04-12,2013-15,245018.12
2013-04-19,2013-16,247868.32
2013-04-26,2013-17,247714.42
2013-05-03,2013-18,247330.72
2013-05-10,2013-19,247743.57
2013-05-17,2013-20,245406.78
2013-05-24,2013-21,248668.98
2013-05-31,2013-22,256118.34
2013-06-07,2013-23,255070.57
2013-06-14,2013-24,252099.12
2013-06-21,2013-25,260906.44
2013-06-28,2013-26,255246.21
2013-07-05,2013-27,256360.62
2013-07-12,2013-28,263435.77
2013-07-19,2013-29,263281.44
2013-07-26,2013-30,268016.23
2013-08-02,2013-31,274449.86
2013-08-09,2013-32,273435.63
2013-08-16,2013-33,279209.15
2013-08-23,2013-34,288592.83
2013-08-30,2013-35,295662.13
2013-09-06,2013-36,301786.74
2013-09-13,2013-37,299327.74
2013-09-20,2013-38,297565.11
2013-09-27,2013-39,302304.84
2013-10-04,2013-40,297342.35
2013-10-11,2013-41,296050.46
2013-10-18,2013-42,
2013-10-25,2013-43,300441.0
2013-11-01,2013-44,300478.62
2013-11-08,2013-45,303523.43
2013-11-15,2013-46,306375.85
2013-11-22,2013-47,305857.26
2013-11-29,2013-48,309091.02
2013-12-06,2013-49,314544.12
2013-12-13,2013-50,315081.47
2013-12-20,2013-51,326463.72
2013-12-27,2013-52,337253.26
2014-01-03,2014-1,332326.9
2014-01-10,2014-2,334720.09
2014-01-17,2014-3,338465.99
2014-01-24,2014-4,362765.43
2014-01-31,2014-5,353875.0
2014-02-07,2014-6,354115.41
2014-02-14,2014-7,353928.37
2014-02-21,2014-8,355846.93
2014-02-28,2014-9,359503.55
2014-03-07,2014-10,358362.3
2014-03-14,2014-11,365945.69
2014-03-21,2014-12,369683.24
2014-03-28,2014-13,367675.1
2014-04-04,2014-14,357623.39
2014-04-11,2014-15,358329.85
2014-04-18,2014-16,359819.95
2014-04-25,2014-17,362210.1
2014-05-02,2014-18,357026.08
2014-05-09,2014-19,350328.7
2014-05-16,2014-20,354288.43
2014-05-23,2014-21,354164.16
2014-05-30,2014-22,350806.21
2014-06-06,2014-23,349093.47
2014-06-13,2014-24,350711.18
2014-06-20,2014-25,353268.95
2014-06-27,2014-26,345331.61
2014-07-04,2014-27,339031.01
2014-07-11,2014-28,340918.88
2014-07-18,2014-29,344772.84
2014-07-25,2014-30,345844.66
2014-08-01,2014-31,354117.0
2014-08-08,2014-32,358170.14
2014-08-15,2014-33,360901.42
2014-08-22,2014-34,364297.51
2014-08-29,2014-35,362110.33
2014-09-05,2014-36,362327.62
2014-09-12,2014-37,365479.19
2014-09-19,2014-38,369869.86
2014-09-26,2014-39,374305.47
2014-10-03,2014-40,374554.42
2014-10-10,2014-41,378159.91
2014-10-17,2014-42,380397.72
2014-10-24,2014-43,378623.77
2014-10-31,2014-44,376109.65
2014-11-07,2014-45,387049.86
2014-11-14,2014-46,381248.9
2014-11-21,2014-47,380588.09
2014-11-28,2014-48,371412.92
2014-12-05,2014-49,369839.95
2014-12-12,2014-50,369286.87
2014-12-19,2014-51,370232.8
2014-12-26,2014-52,368089.52
2015-01-02,2015-1,364556.03
2015-01-09,2015-2,361740.96
2015-01-16,2015-3,363457.97
2015-01-23,2015-4,361014.48
2015-01-30,2015-5,368519.57
2015-02-06,2015-6,375308.66
2015-02-13,2015-7,382485.24
2015-02-20,2015-8,385012.36
2015-02-27,2015-9,385012.36
2015-03-06,2015-10,405674.21
2015-03-13,2015-11,405886.4
2015-03-20,2015-12,412140.76
2015-03-27,2015-13,417523.61
2015-04-03,2015-14,415151.63
2015-04-10,2015-15,417006.85
2015-04-17,2015-16,428209.26
2015-04-24,2015-17,435390.31
2015-05-01,2015-18,435849.88
2015-05-08,2015-19,444150.54
2015-05-15,2015-20,440554.88
2015-05-22,2015-21,442339.39
2015-05-29,2015-22,451212.22
2015-06-05,2015-23,468231.17
2015-06-12,2015-24,484258.31
2015-06-19,2015-25,491533.98
2015-06-26,2015-26,487464.52
2015-07-03,2015-27,490132.56
2015-07-10,2015-28,488494.98
2015-07-17,2015-29,487697.06
2015-07-24,2015-30,508207.33
2015-07-31,2015-31,512422.92
2015-08-07,2015-32,511603.94
2015-08-14,2015-33,528103.75
2015-08-21,2015-34,545983.91
2015-08-28,2015-35,540651.95
2015-09-04,2015-36,546283.14
2015-09-11,2015-37,561126.45
2015-09-18,2015-38,568668.85
2015-09-25,2015-39,559355.84
2015-10-02,2015-40,559641.82
2015-10-09,2015-41,548260.94
2015-10-16,2015-42,552314.54
2015-10-23,2015-43,545943.55
2015-10-30,2015-44,552668.13
2015-11-06,2015-45,538202.13
2015-11-13,2015-46,538005.42
2015-11-20,2015-47,531818.35
2015-11-27,2015-48,545058.62
2015-12-04,2015-49,541938.11
2015-12-11,2015-50,551614.97
2015-12-18,2015-51,542230.79
2015-12-25,2015-52,539079.03
2016-01-01,2016-1,531845.9
2016-01-08,2016-2,538826.81
2016-01-15,2016-3,539483.73
2016-01-22,2016-4,534692.54
2016-01-29,2016-5,532453.15
2016-02-05,2016-6,536395.02
2016-02-12,2016-7,541658.75
2016-02-19,2016-8,544441.71
2016-02-26,2016-9,544572.41
2016-03-04,2016-10,541969.94
2016-03-11,2016-11,541453.46
2016-03-18,2016-12,551422.44
2016-03-25,2016-13,552979.05
2016-04-01,2016-14,551659.01
2016-04-08,2016-15,552190.54
2016-04-15,2016-16,553855.41
2016-04-22,2016-17,554247.19
2016-04-29,2016-18,575107.08
2016-05-06,2016-19,564911.26
2016-05-13,2016-20,565788.38
2016-05-20,2016-21,567955.29
2016-05-27,2016-22,564532.76
2016-06-03,2016-23,564607.56
2016-06-10,2016-24,562882.33
2016-06-17,2016-25,565799.14
2016-06-24,2016-26,568338.63
2016-07-01,2016-27,549865.33
2016-07-08,2016-28,557312.7
2016-07-15,2016-29,551070.11
2016-07-22,2016-30,558689.94
2016-07-29,2016-31,542924.81
2016-08-05,2016-32,541219.02
2016-08-12,2016-33,535655.47
2016-08-19,2016-34,537586.21
2016-08-26,2016-35,537437.3
2016-09-02,2016-36,538229.58
2016-09-09,2016-37,536593.8
2016-09-16,2016-38,541929.16
2016-09-23,2016-39,532133.72
2016-09-30,2016-40,530250.04
2016-10-07,2016-41,534506.65
2016-10-14,2016-42,537697.71
2016-10-21,2016-43,537350.95
2016-10-28,2016-44,543105.35
2016-11-04,2016-45,550772.28
2016-11-11,2016-46,565251.15
2016-11-18,2016-47,590059.13
2016-11-25,2016-48,602027.6
2016-12-02,2016-49,615800.7
2016-12-09,2016-50,604649.55
2016-12-16,2016-51,611170.8
2016-12-23,2016-52,611898.49
2016-12-30,2016-53,615541.16
2017-01-06,2017-1,626760.63
2017-01-13,2017-2,667183.66
2017-01-20,2017-3,673358.62
2017-01-27,2017-4,687059.61
2017-02-03,2017-5,676017.39
2017-02-10,2017-6,668984.68
