Tarih,TP_PB_K07Y
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,0.0
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.0
2017-04-01,0.0
2017-05-01,0.0
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,9613.0
2017-10-01,11994.0
2017-11-01,14019.0
2017-12-01,8540.0
2018-01-01,8651.0
2018-02-01,6171.0
2018-03-01,10029.0
2018-04-01,12723.0
2018-05-01,7453.0
2018-06-01,12760.0
2018-07-01,9744.0
2018-08-01,12402.0
2018-09-01,9724.0
2018-10-01,13607.0
2018-11-01,13081.0
2018-12-01,7537.0
2019-01-01,21765.0
2019-02-01,22006.0
2019-03-01,8486.0
2019-04-01,3292.0
2019-05-01,7881.0
2019-06-01,5412.0
2019-07-01,183702.0
2019-08-01,189720.0
2019-09-01,182193.0
2019-10-01,210194.0
2019-11-01,204331.0
2019-12-01,192480.0
2020-01-01,205258.0
2020-02-01,214969.0
2020-03-01,229878.0
2020-04-01,225706.0
2020-05-01,221056.0
2020-06-01,225769.0
2020-07-01,234397.0
2020-08-01,240969.0
2020-09-01,249670.0
2020-10-01,254060.0
2020-11-01,255935.0
2020-12-01,271131.0
2021-01-01,282688.0
2021-02-01,293538.0
2021-03-01,304043.0
2021-04-01,312108.0
2021-05-01,319200.0
2021-06-01,324635.0
2021-07-01,350085.0
2021-08-01,333289.0
2021-09-01,356705.0
2021-10-01,374220.0
2021-11-01,374189.0
2021-12-01,391670.0
2022-01-01,383862.0
2022-02-01,399049.0
2022-03-01,417647.0
2022-04-01,754934.0
2022-05-01,796336.0
2022-06-01,807603.0
2022-07-01,903060.0
2022-08-01,974855.0
2022-09-01,1257518.0
2022-10-01,1262283.0
2022-11-01,1112765.0
2022-12-01,1086118.0
2023-01-01,1072526.0
2023-02-01,1112884.0
2023-03-01,682732.0
2023-04-01,735022.0
2023-05-01,756953.0
2023-06-01,721853.0
2023-07-01,792701.0
2023-08-01,882671.0
2023-09-01,971182.0
2023-10-01,1182059.0
2023-11-01,1120646.0
2023-12-01,1157930.0
2024-01-01,1217542.0
2024-02-01,1290443.0
2024-03-01,1358230.0
2024-04-01,1408377.0
2024-05-01,1475971.0
2024-06-01,1495564.0
2024-07-01,4400211.0
2024-08-01,5350982.0
2024-09-01,5635046.0
2024-10-01,5877311.0
2024-11-01,5949355.0
2024-12-01,6308190.0
2025-01-01,6332545.0
2025-02-01,6652183.0
2025-03-01,7001005.0
2025-04-01,7039596.0
2025-05-01,6839804.0
2025-06-01,6074652.0
2025-07-01,6581970.0
2025-08-01,6193150.0
