Tarih,TP_AUITHULKE_MEKS
2018-03-01,1565.534
2018-04-01,327.35
2018-05-01,270.906
2018-06-01,193.068
2018-07-01,0.0
2018-08-01,305.893
2018-09-01,1353.249
2018-10-01,245.106
2018-11-01,0.0
2018-12-01,267.883
2019-01-01,246.978
2019-02-01,265.494
2019-03-01,730.665
2019-04-01,379.69
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,205.877
2019-08-01,255.144
2019-09-01,1012.2
2019-10-01,61.251
2019-11-01,428.557
2019-12-01,205.148
2020-01-01,0.0
2020-02-01,153.589
2020-03-01,556.567
2020-04-01,0.0
2020-05-01,240.674
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,691.865
2020-12-01,0.0
2021-01-01,253.684
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,692.188
2021-05-01,0.0
2021-06-01,445.387
2021-07-01,242.643
2021-08-01,0.0
2021-09-01,773.436
2021-10-01,0.0
2021-11-01,636.214
2021-12-01,0.0
2022-01-01,174.597
2022-02-01,1063.872
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,481.089
2022-06-01,1190.204
2022-07-01,0.0
2022-08-01,78.619
2022-09-01,18530.196
2022-10-01,0.0
2022-11-01,1002.149
2022-12-01,50.816
2023-01-01,640.846
2023-02-01,0.0
2023-03-01,1302.706
2023-04-01,109.208
2023-05-01,3366.581
2023-06-01,0.0
2023-07-01,702.489
2023-08-01,886.34
2023-09-01,3060.085
2023-10-01,2258.991
2023-11-01,2814.011
2023-12-01,826.024
2024-01-01,2171.378
2024-02-01,988.615
2024-03-01,3663.712
2024-04-01,2510.591
2024-05-01,1120.439
2024-06-01,1961.338
2024-07-01,3458.54
2024-08-01,3137.993
2024-09-01,4706.369
2024-10-01,3694.482
2024-11-01,4485.133
2024-12-01,3289.967
2025-01-01,1150.89
2025-02-01,2338.098
2025-03-01,4259.283
2025-04-01,4095.539
2025-05-01,0.0
2025-06-01,4467.233
2025-07-01,2694.796
2025-08-01,1741.635
