Tarih,TP_AUITHULKE_SIRB
2018-03-01,0.0
2018-04-01,675.973
2018-05-01,465.646
2018-06-01,374.39
2018-07-01,654.492
2018-08-01,157.154
2018-09-01,739.633
2018-10-01,688.226
2018-11-01,974.214
2018-12-01,923.108
2019-01-01,1323.245
2019-02-01,905.605
2019-03-01,753.857
2019-04-01,1206.488
2019-05-01,810.294
2019-06-01,1038.516
2019-07-01,1674.453
2019-08-01,1133.824
2019-09-01,1230.045
2019-10-01,963.748
2019-11-01,811.322
2019-12-01,1092.087
2020-01-01,1034.693
2020-02-01,1200.411
2020-03-01,1536.023
2020-04-01,334.546
2020-05-01,518.888
2020-06-01,2306.658
2020-07-01,1228.96
2020-08-01,1068.964
2020-09-01,606.823
2020-10-01,1272.186
2020-11-01,1848.764
2020-12-01,1410.315
2021-01-01,1157.567
2021-02-01,436.7
2021-03-01,946.029
2021-04-01,918.462
2021-05-01,1196.909
2021-06-01,843.193
2021-07-01,951.316
2021-08-01,1708.028
2021-09-01,1067.499
2021-10-01,555.984
2021-11-01,1337.782
2021-12-01,1327.932
2022-01-01,819.935
2022-02-01,719.22
2022-03-01,970.856
2022-04-01,1167.009
2022-05-01,230.042
2022-06-01,531.823
2022-07-01,552.922
2022-08-01,330.491
2022-09-01,181.291
2022-10-01,155.566
2022-11-01,1426.185
2022-12-01,379.443
2023-01-01,737.941
2023-02-01,188.242
2023-03-01,225.412
2023-04-01,939.196
2023-05-01,784.19
2023-06-01,1431.044
2023-07-01,0.0
2023-08-01,717.992
2023-09-01,168.927
2023-10-01,202.428
2023-11-01,1315.885
2023-12-01,1013.865
2024-01-01,1044.246
2024-02-01,0.0
2024-03-01,1449.471
2024-04-01,849.052
2024-05-01,1403.434
2024-06-01,1130.174
2024-07-01,868.566
2024-08-01,1482.33
2024-09-01,1135.858
2024-10-01,1263.32
2024-11-01,241.325
2024-12-01,1120.454
2025-01-01,1298.279
2025-02-01,196.027
2025-03-01,1702.398
2025-04-01,1125.534
2025-05-01,1270.31
2025-06-01,1400.757
2025-07-01,822.454
2025-08-01,1858.834
