Tarih,TP_AUITHULKE_ISRA
2018-02-01,1934.643
2018-03-01,496.776
2018-04-01,870.033
2018-05-01,901.185
2018-06-01,397.193
2018-07-01,279.793
2018-08-01,451.589
2018-09-01,550.391
2018-10-01,507.651
2018-11-01,1056.43
2018-12-01,314.54
2019-01-01,657.973
2019-02-01,1015.445
2019-03-01,689.023
2019-04-01,946.139
2019-05-01,647.244
2019-06-01,1005.438
2019-07-01,848.492
2019-08-01,868.003
2019-09-01,1264.53
2019-10-01,1103.284
2019-11-01,1263.103
2019-12-01,915.369
2020-01-01,836.164
2020-02-01,1247.076
2020-03-01,1397.487
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,958.867
2020-07-01,1432.062
2020-08-01,15082.971
2020-09-01,8320.426
2020-10-01,719.524
2020-11-01,1085.097
2020-12-01,1558.957
2021-01-01,774.21
2021-02-01,470.728
2021-03-01,0.0
2021-04-01,261.629
2021-05-01,0.0
2021-06-01,276.701
2021-07-01,0.0
2021-08-01,1254.152
2021-09-01,624.788
2021-10-01,769.313
2021-11-01,944.095
2021-12-01,547.506
2022-01-01,718.516
2022-02-01,762.945
2022-03-01,1377.086
2022-04-01,1012.706
2022-05-01,1629.28
2022-06-01,956.987
2022-07-01,1399.182
2022-08-01,1393.621
2022-09-01,845.965
2022-10-01,1020.353
2022-11-01,783.934
2022-12-01,1109.483
2023-01-01,513.967
2023-02-01,1550.381
2023-03-01,1862.584
2023-04-01,311.429
2023-05-01,3481.721
2023-06-01,1299.727
2023-07-01,1592.366
2023-08-01,1277.885
2023-09-01,3423.869
2023-10-01,290.809
2023-11-01,0.0
2023-12-01,0.0
2024-01-01,2107.022
2024-02-01,0.0
2024-03-01,2513.484
2024-04-01,1132.632
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,0.0
2024-12-01,0.0
2025-01-01,0.0
2025-02-01,0.0
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,0.0
2025-07-01,0.0
2025-08-01,0.0
