Tarih,TP_AUITHULKE_BULG
2018-03-01,2531.06
2018-04-01,2597.884
2018-05-01,1743.314
2018-06-01,2306.965
2018-07-01,702.691
2018-08-01,150.843
2018-09-01,763.08
2018-10-01,604.811
2018-11-01,615.167
2018-12-01,480.619
2019-01-01,653.069
2019-02-01,1817.747
2019-03-01,1209.43
2019-04-01,629.126
2019-05-01,2299.91
2019-06-01,1120.853
2019-07-01,1058.91
2019-08-01,1745.042
2019-09-01,1833.127
2019-10-01,1735.077
2019-11-01,1112.299
2019-12-01,915.066
2020-01-01,1233.96
2020-02-01,1456.245
2020-03-01,993.331
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,547.488
2020-07-01,579.821
2020-08-01,2921.168
2020-09-01,981.298
2020-10-01,468.063
2020-11-01,601.51
2020-12-01,334.374
2021-01-01,460.312
2021-02-01,279.11
2021-03-01,224.971
2021-04-01,345.592
2021-05-01,225.841
2021-06-01,1198.591
2021-07-01,266.233
2021-08-01,297.505
2021-09-01,297.847
2021-10-01,229.709
2021-11-01,1001.982
2021-12-01,400.095
2022-01-01,272.189
2022-02-01,537.933
2022-03-01,910.062
2022-04-01,673.41
2022-05-01,763.426
2022-06-01,469.206
2022-07-01,496.928
2022-08-01,1050.562
2022-09-01,376.37
2022-10-01,297.654
2022-11-01,894.888
2022-12-01,376.623
2023-01-01,832.135
2023-02-01,640.357
2023-03-01,619.128
2023-04-01,1039.618
2023-05-01,542.665
2023-06-01,704.78
2023-07-01,745.18
2023-08-01,1101.244
2023-09-01,754.432
2023-10-01,390.723
2023-11-01,1205.592
2023-12-01,1697.434
2024-01-01,604.388
2024-02-01,1147.562
2024-03-01,135.856
2024-04-01,1958.395
2024-05-01,209.549
2024-06-01,1022.535
2024-07-01,1784.716
2024-08-01,1855.591
2024-09-01,1367.576
2024-10-01,1549.561
2024-11-01,1637.738
2024-12-01,971.491
2025-01-01,1319.412
2025-02-01,972.581
2025-03-01,1455.756
2025-04-01,1859.009
2025-05-01,1754.208
2025-06-01,1462.074
2025-07-01,3351.488
2025-08-01,1015.477
