Tarih,TP_AUITHULKE_ITAL
2018-02-01,124.462
2018-03-01,248.098
2018-04-01,264.746
2018-05-01,476.465
2018-06-01,0.0
2018-07-01,145.935
2018-08-01,0.0
2018-09-01,270.131
2018-10-01,238.546
2018-11-01,419.421
2018-12-01,408.266
2019-01-01,439.904
2019-02-01,989.057
2019-03-01,793.933
2019-04-01,348.683
2019-05-01,840.354
2019-06-01,126.541
2019-07-01,1344.53
2019-08-01,820.501
2019-09-01,5371.849
2019-10-01,37690.43
2019-11-01,1098.176
2019-12-01,1545.856
2020-01-01,819.826
2020-02-01,549.914
2020-03-01,357.007
2020-04-01,62.91
2020-05-01,0.0
2020-06-01,6020.944
2020-07-01,377.561
2020-08-01,16518.358
2020-09-01,94958.287
2020-10-01,570.273
2020-11-01,315.677
2020-12-01,711.987
2021-01-01,13856.489
2021-02-01,1.036
2021-03-01,11702.355
2021-04-01,83.443
2021-05-01,91.797
2021-06-01,47.906
2021-07-01,80.93
2021-08-01,461.351
2021-09-01,439.688
2021-10-01,328.596
2021-11-01,440.647
2021-12-01,410.9
2022-01-01,0.0
2022-02-01,711.97
2022-03-01,16429.375
2022-04-01,37.625
2022-05-01,46851.545
2022-06-01,41739.216
2022-07-01,28057.969
2022-08-01,114080.49
2022-09-01,83168.505
2022-10-01,140596.12
2022-11-01,62602.232
2022-12-01,55296.246
2023-01-01,27577.321
2023-02-01,40333.096
2023-03-01,8818.809
2023-04-01,646.146
2023-05-01,45704.993
2023-06-01,32679.062
2023-07-01,53033.342
2023-08-01,27199.974
2023-09-01,23909.374
2023-10-01,15285.59
2023-11-01,21696.99
2023-12-01,32032.906
2024-01-01,22855.16
2024-02-01,11140.117
2024-03-01,19251.851
2024-04-01,10991.142
2024-05-01,13437.255
2024-06-01,13424.879
2024-07-01,17264.577
2024-08-01,15494.817
2024-09-01,13132.033
2024-10-01,5036.418
2024-11-01,8721.75
2024-12-01,9771.137
2025-01-01,13399.18
2025-02-01,6224.861
2025-03-01,19300.421
2025-04-01,3463.162
2025-05-01,16460.048
2025-06-01,12065.61
2025-07-01,55814.067
2025-08-01,55036.858
