Tarih,TP_AUITHULKE_HONG
2018-03-01,63.293
2018-04-01,421.449
2018-05-01,1846.168
2018-06-01,3437.326
2018-07-01,1902.008
2018-08-01,181.364
2018-09-01,394.061
2018-10-01,152.229
2018-11-01,11955.012
2018-12-01,11489.17
2019-01-01,25347.659
2019-02-01,571.884
2019-03-01,21560.407
2019-04-01,55625.837
2019-05-01,936.744
2019-06-01,0.0
2019-07-01,98.539
2019-08-01,194.573
2019-09-01,180.838
2019-10-01,764.317
2019-11-01,23849.123
2019-12-01,38232.358
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,102019.952
2020-04-01,4087.0
2020-05-01,6088.048
2020-06-01,2081.086
2020-07-01,0.0
2020-08-01,31286.905
2020-09-01,38218.922
2020-10-01,8194.164
2020-11-01,1647.59
2020-12-01,4457.2
2021-01-01,650.942
2021-02-01,992.798
2021-03-01,0.0
2021-04-01,172.971
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,1963.347
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,2680.689
2022-01-01,0.0
2022-02-01,4173.554
2022-03-01,7026.765
2022-04-01,1588.407
2022-05-01,7873.744
2022-06-01,7772.606
2022-07-01,0.0
2022-08-01,0.0
2022-09-01,9427.955
2022-10-01,0.0
2022-11-01,1121.184
2022-12-01,20521.665
2023-01-01,131379.09
2023-02-01,106922.467
2023-03-01,135426.158
2023-04-01,195.4
2023-05-01,72569.572
2023-06-01,69565.029
2023-07-01,22320.962
2023-08-01,15891.457
2023-09-01,3016.643
2023-10-01,4371.933
2023-11-01,1000.212
2023-12-01,2942.021
2024-01-01,47051.049
2024-02-01,2028.98
2024-03-01,2412.811
2024-04-01,7635.74
2024-05-01,1060.733
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,839.211
2024-09-01,612.05
2024-10-01,2088.002
2024-11-01,241.456
2024-12-01,183.703
2025-01-01,247.803
2025-02-01,0.0
2025-03-01,1025.412
2025-04-01,282.08
2025-05-01,615.632
2025-06-01,0.0
2025-07-01,2233.643
2025-08-01,368.551
