Tarih,TP_AUITHULKE_KOLO
2018-03-01,1582.4
2018-04-01,1366.0
2018-05-01,624.0
2018-06-01,1713.531
2018-07-01,1969.5
2018-08-01,0.0
2018-09-01,1012.888
2018-10-01,570.318
2018-11-01,246.921
2018-12-01,9799.478
2019-01-01,0.0
2019-02-01,2081.815
2019-03-01,2914.232
2019-04-01,2538.0
2019-05-01,3227.456
2019-06-01,3324.5
2019-07-01,10746.777
2019-08-01,23961.5
2019-09-01,20701.55
2019-10-01,17761.866
2019-11-01,3432.082
2019-12-01,3518.0
2020-01-01,969.035
2020-02-01,3064.0
2020-03-01,4378.8
2020-04-01,4885.8
2020-05-01,6792.396
2020-06-01,2678.0
2020-07-01,4756.966
2020-08-01,10125.0
2020-09-01,6869.85
2020-10-01,10781.05
2020-11-01,7685.676
2020-12-01,4975.0
2021-01-01,5543.9
2021-02-01,5760.26
2021-03-01,0.0
2021-04-01,388.572
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,623.0
2021-09-01,3432.336
2021-10-01,210.889
2021-11-01,289.1
2021-12-01,848.5
2022-01-01,405.9
2022-02-01,913.989
2022-03-01,0.0
2022-04-01,1045.405
2022-05-01,766.7
2022-06-01,688.951
2022-07-01,2098.833
2022-08-01,833.111
2022-09-01,230.169
2022-10-01,695.2
2022-11-01,0.0
2022-12-01,762.982
2023-01-01,0.0
2023-02-01,205.33
2023-03-01,4207.939
2023-04-01,275.494
2023-05-01,343.677
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,102.24
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,67.248
2024-01-01,970.242
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,477.913
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,276.248
2024-12-01,735.177
2025-01-01,0.0
2025-02-01,0.0
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,857.207
2025-07-01,0.0
2025-08-01,0.0
