Tarih,TP_AUITHULKE_IRAK
2018-02-01,88444.551
2018-03-01,59975.236
2018-04-01,189849.951
2018-05-01,223847.934
2018-06-01,109985.317
2018-07-01,132167.976
2018-08-01,60747.868
2018-09-01,165330.502
2018-10-01,56996.683
2018-11-01,28906.518
2018-12-01,44704.644
2019-01-01,44047.234
2019-02-01,31816.948
2019-03-01,15783.178
2019-04-01,14819.403
2019-05-01,42008.033
2019-06-01,141734.198
2019-07-01,367311.465
2019-08-01,389831.237
2019-09-01,378857.996
2019-10-01,394445.391
2019-11-01,280154.094
2019-12-01,299829.459
2020-01-01,772789.36
2020-02-01,726862.364
2020-03-01,274147.534
2020-04-01,92611.53
2020-05-01,461630.717
2020-06-01,896558.166
2020-07-01,945786.857
2020-08-01,1642835.935
2020-09-01,511541.532
2020-10-01,293795.811
2020-11-01,528233.425
2020-12-01,793229.288
2021-01-01,787331.85
2021-02-01,138466.992
2021-03-01,3250.0
2021-04-01,1441.571
2021-05-01,0.0
2021-06-01,7055.686
2021-07-01,5600.0
2021-08-01,9210.034
2021-09-01,7151.581
2021-10-01,4685.105
2021-11-01,4992.939
2021-12-01,1664.313
2022-01-01,23569.021
2022-02-01,19243.614
2022-03-01,144022.018
2022-04-01,19710.681
2022-05-01,42421.53
2022-06-01,5594.4
2022-07-01,9401.509
2022-08-01,19650.782
2022-09-01,12529.109
2022-10-01,10522.698
2022-11-01,8380.831
2022-12-01,11227.645
2023-01-01,36295.056
2023-02-01,14985.774
2023-03-01,20052.391
2023-04-01,21056.36
2023-05-01,6686.042
2023-06-01,11756.496
2023-07-01,20753.477
2023-08-01,9423.581
2023-09-01,6862.998
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,0.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,704.633
2024-08-01,0.0
2024-09-01,766.288
2024-10-01,1684.513
2024-11-01,3296.033
2024-12-01,0.0
2025-01-01,1202.695
2025-02-01,3612.54
2025-03-01,794.974
2025-04-01,506.261
2025-05-01,2391.779
2025-06-01,0.0
2025-07-01,1467.436
2025-08-01,2059.797
