Tarih,TP_AUITHULKE_MACA
2018-02-01,1343.616
2018-03-01,1160.993
2018-04-01,1459.532
2018-05-01,1351.644
2018-06-01,1196.303
2018-07-01,1369.913
2018-08-01,1168.575
2018-09-01,1830.531
2018-10-01,2278.43
2018-11-01,1344.314
2018-12-01,905.283
2019-01-01,1751.461
2019-02-01,448.667
2019-03-01,1681.652
2019-04-01,1749.471
2019-05-01,1038.17
2019-06-01,862.522
2019-07-01,1308.994
2019-08-01,81.227
2019-09-01,1470.034
2019-10-01,1794.533
2019-11-01,993.772
2019-12-01,3189.155
2020-01-01,2979.501
2020-02-01,1880.375
2020-03-01,968.442
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,1364.668
2020-07-01,0.0
2020-08-01,2285.424
2020-09-01,4552.725
2020-10-01,903.414
2020-11-01,4102.748
2020-12-01,2283.152
2021-01-01,2869.547
2021-02-01,2712.98
2021-03-01,1479.183
2021-04-01,1800.699
2021-05-01,1123.548
2021-06-01,2844.3
2021-07-01,1576.583
2021-08-01,2596.751
2021-09-01,3915.697
2021-10-01,3704.037
2021-11-01,1820.125
2021-12-01,3660.661
2022-01-01,1321.145
2022-02-01,2539.044
2022-03-01,1138.334
2022-04-01,2467.8
2022-05-01,1546.122
2022-06-01,3316.934
2022-07-01,1011.428
2022-08-01,2377.046
2022-09-01,1938.129
2022-10-01,1919.802
2022-11-01,2100.337
2022-12-01,2041.612
2023-01-01,926.448
2023-02-01,3156.458
2023-03-01,338.173
2023-04-01,1234.138
2023-05-01,1797.115
2023-06-01,1427.759
2023-07-01,149.443
2023-08-01,1582.235
2023-09-01,896.37
2023-10-01,1590.404
2023-11-01,1105.267
2023-12-01,0.0
2024-01-01,172.526
2024-02-01,987.198
2024-03-01,1855.533
2024-04-01,1351.046
2024-05-01,394.997
2024-06-01,1462.495
2024-07-01,839.991
2024-08-01,1105.012
2024-09-01,1291.605
2024-10-01,1713.243
2024-11-01,0.0
2024-12-01,1515.792
2025-01-01,0.0
2025-02-01,1199.934
2025-03-01,2117.842
2025-04-01,0.0
2025-05-01,439.567
2025-06-01,2137.417
2025-07-01,198.805
2025-08-01,282.847
