Tarih,TP_AUITHULKE_GURC
2018-03-01,10.686
2018-04-01,0.0
2018-05-01,99.135
2018-06-01,74.101
2018-07-01,0.0
2018-08-01,21.977
2018-09-01,127.926
2018-10-01,0.0
2018-11-01,24.126
2018-12-01,110.0
2019-01-01,87.565
2019-02-01,115.255
2019-03-01,145.417
2019-04-01,202.5
2019-05-01,176.825
2019-06-01,264.998
2019-07-01,331.0
2019-08-01,204.1
2019-09-01,98.75
2019-10-01,235.759
2019-11-01,0.0
2019-12-01,157.563
2020-01-01,153.0
2020-02-01,141.5
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,112.0
2020-06-01,285.2
2020-07-01,150.181
2020-08-01,258.619
2020-09-01,252.542
2020-10-01,181.617
2020-11-01,233.58
2020-12-01,918.625
2021-01-01,311.86
2021-02-01,150.66
2021-03-01,383.95
2021-04-01,29.033
2021-05-01,0.0
2021-06-01,23.023
2021-07-01,66.564
2021-08-01,0.0
2021-09-01,29.618
2021-10-01,0.0
2021-11-01,192.936
2021-12-01,30.713
2022-01-01,0.0
2022-02-01,39.538
2022-03-01,83.956
2022-04-01,64.355
2022-05-01,0.0
2022-06-01,1498.544
2022-07-01,98.453
2022-08-01,158.167
2022-09-01,0.0
2022-10-01,90.596
2022-11-01,146.835
2022-12-01,79.048
2023-01-01,1960.351
2023-02-01,909.63
2023-03-01,1802.624
2023-04-01,68.379
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,68.834
2023-08-01,0.0
2023-09-01,73.479
2023-10-01,191.153
2023-11-01,1781.078
2023-12-01,2662.627
2024-01-01,728.487
2024-02-01,0.0
2024-03-01,256.382
2024-04-01,1371.595
2024-05-01,1328.24
2024-06-01,0.0
2024-07-01,908.847
2024-08-01,0.0
2024-09-01,852.404
2024-10-01,124.829
2024-11-01,1098.043
2024-12-01,0.0
2025-01-01,1360.531
2025-02-01,60.175
2025-03-01,154.606
2025-04-01,1934.657
2025-05-01,75.242
2025-06-01,2546.623
2025-07-01,295.482
2025-08-01,0.0
