Tarih,TP_AUITHULKE_INGI
2018-02-01,217864.861
2018-03-01,426080.738
2018-04-01,57.914
2018-05-01,857504.971
2018-06-01,184.678
2018-07-01,76.878
2018-08-01,51.278
2018-09-01,134.132
2018-10-01,198.354
2018-11-01,2269.235
2018-12-01,454.465
2019-01-01,2922.811
2019-02-01,1983.464
2019-03-01,84465.358
2019-04-01,46.952
2019-05-01,97.389
2019-06-01,109.499
2019-07-01,29.982
2019-08-01,60.646
2019-09-01,351.591
2019-10-01,143273.8
2019-11-01,47144.315
2019-12-01,268234.52
2020-01-01,220513.483
2020-02-01,52073.245
2020-03-01,27241.374
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,30064.575
2020-07-01,0.0
2020-08-01,92290.339
2020-09-01,247768.754
2020-10-01,0.0
2020-11-01,1952.35
2020-12-01,311.599
2021-01-01,273.436
2021-02-01,42749.85
2021-03-01,0.0
2021-04-01,452.135
2021-05-01,698.313
2021-06-01,393.306
2021-07-01,572.559
2021-08-01,96.115
2021-09-01,126.664
2021-10-01,729.92
2021-11-01,0.509
2021-12-01,270.886
2022-01-01,0.0
2022-02-01,551.974
2022-03-01,1209.511
2022-04-01,73.278
2022-05-01,491.842
2022-06-01,1045.704
2022-07-01,363.429
2022-08-01,612.721
2022-09-01,1974.21
2022-10-01,12138.021
2022-11-01,522.105
2022-12-01,334.769
2023-01-01,6080.571
2023-02-01,476.205
2023-03-01,870.667
2023-04-01,368.563
2023-05-01,883.296
2023-06-01,859.21
2023-07-01,616.363
2023-08-01,517.119
2023-09-01,397.088
2023-10-01,248.011
2023-11-01,72.061
2023-12-01,151.883
2024-01-01,227.465
2024-02-01,0.0
2024-03-01,594.304
2024-04-01,279.854
2024-05-01,142.112
2024-06-01,828.946
2024-07-01,417.446
2024-08-01,8919.731
2024-09-01,0.0
2024-10-01,617.586
2024-11-01,8727.032
2024-12-01,482.161
2025-01-01,16244.631
2025-02-01,896.511
2025-03-01,192.053
2025-04-01,10164.025
2025-05-01,0.0
2025-06-01,3.363
2025-07-01,281.885
2025-08-01,0.128
