Tarih,TP_AUITHULKE_MISI
2018-02-01,5225.0
2018-03-01,3238.986
2018-04-01,2713.0
2018-05-01,2723.208
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,364.4
2018-09-01,342.463
2018-10-01,278.803
2018-11-01,469.274
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,63.688
2019-03-01,31.879
2019-04-01,223.096
2019-05-01,0.0
2019-06-01,109.694
2019-07-01,35.764
2019-08-01,7.969
2019-09-01,0.0
2019-10-01,739.842
2019-11-01,1663.434
2019-12-01,1928.875
2020-01-01,2428.602
2020-02-01,187.258
2020-03-01,429.197
2020-04-01,10308.045
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,115.161
2020-10-01,45.641
2020-11-01,504.961
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,118.815
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,28.075
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,2602.041
2022-04-01,9088.529
2022-05-01,2679.667
2022-06-01,11399.695
2022-07-01,5345.377
2022-08-01,6947.125
2022-09-01,7694.565
2022-10-01,11041.332
2022-11-01,7851.519
2022-12-01,8687.342
2023-01-01,1224.55
2023-02-01,1967.926
2023-03-01,6973.27
2023-04-01,2089.95
2023-05-01,5244.914
2023-06-01,4789.621
2023-07-01,5591.721
2023-08-01,8449.105
2023-09-01,1539.192
2023-10-01,6519.465
2023-11-01,4040.483
2023-12-01,3105.284
2024-01-01,4287.716
2024-02-01,3568.942
2024-03-01,4142.076
2024-04-01,5619.531
2024-05-01,8280.208
2024-06-01,8453.482
2024-07-01,10014.992
2024-08-01,6424.929
2024-09-01,3451.22
2024-10-01,19193.648
2024-11-01,10629.16
2024-12-01,18332.472
2025-01-01,4703.197
2025-02-01,11292.311
2025-03-01,10576.953
2025-04-01,17446.347
2025-05-01,10434.317
2025-06-01,7960.074
2025-07-01,17929.248
2025-08-01,12183.637
