Tarih,TP_AUITHULKE_BIRL
2018-02-01,448787.42
2018-03-01,400617.293
2018-04-01,338111.322
2018-05-01,166979.086
2018-06-01,198197.298
2018-07-01,243521.341
2018-08-01,140808.256
2018-09-01,172878.068
2018-10-01,224920.021
2018-11-01,228628.171
2018-12-01,185299.591
2019-01-01,183493.199
2019-02-01,396416.395
2019-03-01,294586.082
2019-04-01,315166.868
2019-05-01,300874.329
2019-06-01,267229.542
2019-07-01,316097.438
2019-08-01,257824.531
2019-09-01,315016.91
2019-10-01,309067.077
2019-11-01,215685.41
2019-12-01,368532.527
2020-01-01,309996.178
2020-02-01,274267.971
2020-03-01,210316.899
2020-04-01,194982.451
2020-05-01,384959.01
2020-06-01,559587.193
2020-07-01,324758.133
2020-08-01,504179.258
2020-09-01,1030453.785
2020-10-01,383544.989
2020-11-01,386004.113
2020-12-01,539257.312
2021-01-01,310664.692
2021-02-01,270692.969
2021-03-01,80230.406
2021-04-01,141308.915
2021-05-01,67669.138
2021-06-01,110846.809
2021-07-01,44756.714
2021-08-01,76942.999
2021-09-01,137966.454
2021-10-01,38543.283
2021-11-01,31240.609
2021-12-01,165418.019
2022-01-01,233408.862
2022-02-01,170576.744
2022-03-01,280132.944
2022-04-01,201577.502
2022-05-01,304712.528
2022-06-01,282772.558
2022-07-01,279812.643
2022-08-01,278571.19
2022-09-01,324050.562
2022-10-01,400832.695
2022-11-01,239389.948
2022-12-01,229190.219
2023-01-01,357222.812
2023-02-01,313091.076
2023-03-01,272774.263
2023-04-01,968804.819
2023-05-01,1725983.794
2023-06-01,548600.186
2023-07-01,336722.692
2023-08-01,1895020.435
2023-09-01,1069789.964
2023-10-01,704486.127
2023-11-01,873543.29
2023-12-01,527990.228
2024-01-01,245951.947
2024-02-01,330703.711
2024-03-01,465102.608
2024-04-01,331510.72
2024-05-01,426743.52
2024-06-01,278097.507
2024-07-01,488592.373
2024-08-01,475047.355
2024-09-01,492170.1
2024-10-01,791665.229
2024-11-01,668806.285
2024-12-01,460172.348
2025-01-01,640682.423
2025-02-01,840318.457
2025-03-01,483824.947
2025-04-01,668627.737
2025-05-01,706104.636
2025-06-01,393922.636
2025-07-01,403431.181
2025-08-01,355855.09
