Tarih,TP_AUITHULKE_HOLL
2018-02-01,0.0
2018-03-01,237.375
2018-04-01,59.04
2018-05-01,0.0
2018-06-01,603.185
2018-07-01,634.801
2018-08-01,3766.485
2018-09-01,1944.987
2018-10-01,952.052
2018-11-01,656.587
2018-12-01,439.238
2019-01-01,522.064
2019-02-01,292.081
2019-03-01,751.88
2019-04-01,998.453
2019-05-01,1193.764
2019-06-01,536.195
2019-07-01,1235.877
2019-08-01,477.46
2019-09-01,962.549
2019-10-01,1221.87
2019-11-01,3197.431
2019-12-01,5328.454
2020-01-01,4229.368
2020-02-01,5063.393
2020-03-01,3368.049
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,8909.04
2020-07-01,9717.568
2020-08-01,8555.183
2020-09-01,6354.101
2020-10-01,18251.392
2020-11-01,20914.719
2020-12-01,26205.608
2021-01-01,3515.428
2021-02-01,634.522
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,30.148
2021-06-01,1339.994
2021-07-01,642.597
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,178.611
2022-04-01,909.012
2022-05-01,191.58
2022-06-01,198.145
2022-07-01,1037.103
2022-08-01,304.641
2022-09-01,2328.484
2022-10-01,726.212
2022-11-01,1426.948
2022-12-01,2059.081
2023-01-01,524.785
2023-02-01,587.891
2023-03-01,785.058
2023-04-01,421.757
2023-05-01,595.506
2023-06-01,38.418
2023-07-01,536.74
2023-08-01,869.147
2023-09-01,1245.117
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,242.668
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,55.613
2024-04-01,0.0
2024-05-01,1342.05
2024-06-01,442.733
2024-07-01,1671.983
2024-08-01,1008.319
2024-09-01,1766.92
2024-10-01,1013.964
2024-11-01,930.691
2024-12-01,1447.844
2025-01-01,291.421
2025-02-01,1813.93
2025-03-01,983.094
2025-04-01,1760.248
2025-05-01,1668.89
2025-06-01,1361.772
2025-07-01,0.019
2025-08-01,1543.831
