Tarih,TP_AUITHULKE_ALMA
2018-02-01,52135.654
2018-03-01,59664.161
2018-04-01,56594.377
2018-05-01,69201.95
2018-06-01,67695.002
2018-07-01,54759.735
2018-08-01,23191.201
2018-09-01,39960.078
2018-10-01,61362.415
2018-11-01,66818.238
2018-12-01,60160.196
2019-01-01,65758.447
2019-02-01,67393.165
2019-03-01,67815.445
2019-04-01,65635.415
2019-05-01,69514.433
2019-06-01,69833.51
2019-07-01,100770.345
2019-08-01,72639.166
2019-09-01,98320.646
2019-10-01,116609.693
2019-11-01,88145.281
2019-12-01,72842.345
2020-01-01,91020.633
2020-02-01,88340.47
2020-03-01,53401.821
2020-04-01,5407.943
2020-05-01,25188.969
2020-06-01,77759.647
2020-07-01,149146.712
2020-08-01,102506.905
2020-09-01,120745.53
2020-10-01,93494.975
2020-11-01,76846.349
2020-12-01,42711.518
2021-01-01,28460.931
2021-02-01,712.914
2021-03-01,1176.356
2021-04-01,2625.7
2021-05-01,1153.271
2021-06-01,162.442
2021-07-01,2489.028
2021-08-01,523.173
2021-09-01,1102.748
2021-10-01,635.587
2021-11-01,1451.421
2021-12-01,436.61
2022-01-01,510.626
2022-02-01,1026.71
2022-03-01,2769.987
2022-04-01,831.496
2022-05-01,332.608
2022-06-01,457.32
2022-07-01,420.318
2022-08-01,412.618
2022-09-01,421.279
2022-10-01,661.187
2022-11-01,954.565
2022-12-01,512.197
2023-01-01,575.75
2023-02-01,843.656
2023-03-01,617.256
2023-04-01,861.743
2023-05-01,3209.855
2023-06-01,2199.077
2023-07-01,2194.803
2023-08-01,2182.037
2023-09-01,1389.932
2023-10-01,1299.615
2023-11-01,536.995
2023-12-01,567.815
2024-01-01,118.643
2024-02-01,1870.563
2024-03-01,1733.263
2024-04-01,1676.081
2024-05-01,1661.99
2024-06-01,2017.612
2024-07-01,45.923
2024-08-01,696.56
2024-09-01,460.242
2024-10-01,794.953
2024-11-01,1907.55
2024-12-01,427.967
2025-01-01,878.955
2025-02-01,1811.746
2025-03-01,376.098
2025-04-01,2998.096
2025-05-01,2354.71
2025-06-01,1387.914
2025-07-01,6205.854
2025-08-01,2665.043
