Tarih,TP_AUITHULKE_LIBY
2018-02-01,1654.671
2018-03-01,4903.039
2018-04-01,12027.138
2018-05-01,4888.776
2018-06-01,6499.769
2018-07-01,8008.249
2018-08-01,3664.631
2018-09-01,3628.363
2018-10-01,10326.777
2018-11-01,25972.689
2018-12-01,16709.954
2019-01-01,24337.44
2019-02-01,15625.202
2019-03-01,21522.062
2019-04-01,15266.342
2019-05-01,15286.303
2019-06-01,11604.226
2019-07-01,23151.52
2019-08-01,10518.591
2019-09-01,24972.488
2019-10-01,23754.931
2019-11-01,16368.904
2019-12-01,17044.208
2020-01-01,19980.384
2020-02-01,20729.235
2020-03-01,12231.926
2020-04-01,2113.902
2020-05-01,38181.828
2020-06-01,230634.127
2020-07-01,252143.152
2020-08-01,253965.168
2020-09-01,139198.014
2020-10-01,258321.645
2020-11-01,33656.25
2020-12-01,51224.02
2021-01-01,44371.422
2021-02-01,19498.043
2021-03-01,399.179
2021-04-01,3831.156
2021-05-01,1779.589
2021-06-01,6879.96
2021-07-01,4055.404
2021-08-01,3989.834
2021-09-01,3256.34
2021-10-01,4362.146
2021-11-01,1181.953
2021-12-01,6389.006
2022-01-01,13919.333
2022-02-01,6114.605
2022-03-01,18103.346
2022-04-01,14798.482
2022-05-01,5701.436
2022-06-01,14900.779
2022-07-01,14192.358
2022-08-01,20822.778
2022-09-01,9384.311
2022-10-01,5262.413
2022-11-01,6029.914
2022-12-01,6627.938
2023-01-01,6168.432
2023-02-01,919.584
2023-03-01,6857.32
2023-04-01,4005.216
2023-05-01,11533.0
2023-06-01,4659.94
2023-07-01,2924.591
2023-08-01,8113.892
2023-09-01,3062.785
2023-10-01,0.0
2023-11-01,3619.094
2023-12-01,0.0
2024-01-01,1386.914
2024-02-01,0.0
2024-03-01,1414.382
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,520.984
2024-09-01,0.0
2024-10-01,947.144
2024-11-01,416.083
2024-12-01,0.0
2025-01-01,0.0
2025-02-01,886.027
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,0.0
2025-07-01,0.0
2025-08-01,697.352
