Tarih,TP_AUITHULKE_FAS
2018-02-01,1994.668
2018-03-01,2151.329
2018-04-01,1407.871
2018-05-01,2946.849
2018-06-01,839.579
2018-07-01,2442.103
2018-08-01,772.681
2018-09-01,2219.29
2018-10-01,606.634
2018-11-01,2800.898
2018-12-01,2737.815
2019-01-01,1827.132
2019-02-01,3161.599
2019-03-01,1755.942
2019-04-01,1293.126
2019-05-01,3954.373
2019-06-01,4206.511
2019-07-01,3487.124
2019-08-01,3860.731
2019-09-01,7182.252
2019-10-01,5566.426
2019-11-01,5435.677
2019-12-01,4248.586
2020-01-01,3415.793
2020-02-01,3871.387
2020-03-01,2073.234
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,310.479
2020-08-01,2597.736
2020-09-01,3803.697
2020-10-01,3858.43
2020-11-01,3132.815
2020-12-01,4676.562
2021-01-01,4913.887
2021-02-01,1289.838
2021-03-01,840.346
2021-04-01,4714.175
2021-05-01,0.0
2021-06-01,157.215
2021-07-01,0.0
2021-08-01,652.883
2021-09-01,1243.534
2021-10-01,392.784
2021-11-01,2705.209
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,858.727
2022-03-01,895.305
2022-04-01,761.473
2022-05-01,310.669
2022-06-01,467.874
2022-07-01,1209.706
2022-08-01,1532.642
2022-09-01,0.0
2022-10-01,263.059
2022-11-01,787.948
2022-12-01,869.102
2023-01-01,874.695
2023-02-01,0.0
2023-03-01,1053.682
2023-04-01,148.876
2023-05-01,714.768
2023-06-01,0.0
2023-07-01,601.699
2023-08-01,1531.438
2023-09-01,424.553
2023-10-01,2361.057
2023-11-01,574.759
2023-12-01,0.0
2024-01-01,1336.882
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,1459.31
2024-06-01,729.655
2024-07-01,1089.713
2024-08-01,643.064
2024-09-01,156.14
2024-10-01,2256.231
2024-11-01,968.396
2024-12-01,1791.0
2025-01-01,684.45
2025-02-01,0.0
2025-03-01,162.882
2025-04-01,1914.0
2025-05-01,682.042
2025-06-01,852.768
2025-07-01,1102.032
2025-08-01,0.0
