Tarih,TP_AUITHULKE_ROMA
2018-02-01,3869.442
2018-03-01,3073.378
2018-04-01,2509.08
2018-05-01,3268.289
2018-06-01,3001.319
2018-07-01,1942.876
2018-08-01,2524.716
2018-09-01,3327.953
2018-10-01,2591.531
2018-11-01,3370.596
2018-12-01,3027.884
2019-01-01,3347.68
2019-02-01,3439.397
2019-03-01,2736.102
2019-04-01,4216.104
2019-05-01,3235.774
2019-06-01,2707.005
2019-07-01,4258.709
2019-08-01,4040.273
2019-09-01,4666.083
2019-10-01,4472.432
2019-11-01,4194.005
2019-12-01,4760.622
2020-01-01,4607.347
2020-02-01,4352.033
2020-03-01,3103.85
2020-04-01,3954.624
2020-05-01,3357.803
2020-06-01,4728.758
2020-07-01,3694.185
2020-08-01,5105.841
2020-09-01,5123.155
2020-10-01,4734.138
2020-11-01,4708.18
2020-12-01,4282.0
2021-01-01,3093.083
2021-02-01,1424.51
2021-03-01,1508.927
2021-04-01,2787.153
2021-05-01,1880.102
2021-06-01,4019.87
2021-07-01,1583.435
2021-08-01,3593.798
2021-09-01,2940.79
2021-10-01,2406.758
2021-11-01,1564.658
2021-12-01,4481.484
2022-01-01,1585.909
2022-02-01,3456.021
2022-03-01,2113.566
2022-04-01,2092.08
2022-05-01,893.47
2022-06-01,2686.207
2022-07-01,1947.994
2022-08-01,1183.666
2022-09-01,2393.177
2022-10-01,4096.294
2022-11-01,2998.64
2022-12-01,1942.839
2023-01-01,1871.756
2023-02-01,3195.615
2023-03-01,1798.619
2023-04-01,1013.434
2023-05-01,2704.019
2023-06-01,1905.252
2023-07-01,3589.356
2023-08-01,865.188
2023-09-01,1348.092
2023-10-01,2228.571
2023-11-01,3394.463
2023-12-01,1615.651
2024-01-01,1382.471
2024-02-01,1953.369
2024-03-01,1826.11
2024-04-01,1288.344
2024-05-01,2127.101
2024-06-01,1170.756
2024-07-01,2189.024
2024-08-01,2062.76
2024-09-01,1807.729
2024-10-01,3175.839
2024-11-01,1921.878
2024-12-01,1907.987
2025-01-01,560.904
2025-02-01,1876.97
2025-03-01,1668.338
2025-04-01,1271.715
2025-05-01,2860.517
2025-06-01,1547.651
2025-07-01,1369.273
2025-08-01,1942.305
