Tarih,TP_AUITHULKE_ABDE
2018-02-01,790.995
2018-03-01,37659.255
2018-04-01,43388.279
2018-05-01,467.22
2018-06-01,737.146
2018-07-01,341.206
2018-08-01,1094.589
2018-09-01,1382.245
2018-10-01,383.258
2018-11-01,1990.413
2018-12-01,6064.055
2019-01-01,735.819
2019-02-01,6536.951
2019-03-01,20275.114
2019-04-01,3544.534
2019-05-01,3267.365
2019-06-01,804.539
2019-07-01,1735.565
2019-08-01,1717.958
2019-09-01,636.337
2019-10-01,2314.193
2019-11-01,47441.435
2019-12-01,2796.128
2020-01-01,1860.539
2020-02-01,2981.108
2020-03-01,956.088
2020-04-01,2571.232
2020-05-01,6.077
2020-06-01,8286.749
2020-07-01,7376.225
2020-08-01,2518.185
2020-09-01,5382.169
2020-10-01,6823.149
2020-11-01,6140.967
2020-12-01,7563.091
2021-01-01,6902.222
2021-02-01,18622.647
2021-03-01,10735.071
2021-04-01,22967.696
2021-05-01,22738.39
2021-06-01,39293.816
2021-07-01,15987.78
2021-08-01,15831.664
2021-09-01,11545.997
2021-10-01,8767.018
2021-11-01,15859.032
2021-12-01,2765.322
2022-01-01,4727.471
2022-02-01,9803.496
2022-03-01,13416.863
2022-04-01,8795.458
2022-05-01,33401.353
2022-06-01,19906.062
2022-07-01,15437.054
2022-08-01,99278.164
2022-09-01,46719.845
2022-10-01,31723.289
2022-11-01,35331.376
2022-12-01,19450.024
2023-01-01,26293.305
2023-02-01,10587.594
2023-03-01,11901.823
2023-04-01,6911.835
2023-05-01,16250.063
2023-06-01,15459.272
2023-07-01,13808.308
2023-08-01,18841.511
2023-09-01,29343.842
2023-10-01,42435.487
2023-11-01,40030.306
2023-12-01,35148.673
2024-01-01,29025.267
2024-02-01,23116.481
2024-03-01,38860.889
2024-04-01,28924.61
2024-05-01,38532.282
2024-06-01,26235.961
2024-07-01,25473.016
2024-08-01,18097.083
2024-09-01,24603.801
2024-10-01,24387.69
2024-11-01,24992.31
2024-12-01,33406.157
2025-01-01,15803.028
2025-02-01,30117.975
2025-03-01,22663.781
2025-04-01,27037.315
2025-05-01,32837.921
2025-06-01,42363.059
2025-07-01,47298.691
2025-08-01,50545.347
