Tarih,TP_AUITHULKE_AVST
2018-02-01,0.0
2018-03-01,8477.222
2018-04-01,0.0
2018-05-01,16805.252
2018-06-01,249.603
2018-07-01,0.0
2018-08-01,3926.184
2018-09-01,11484.01
2018-10-01,57.276
2018-11-01,0.0
2018-12-01,22203.932
2019-01-01,28282.131
2019-02-01,213.103
2019-03-01,97247.232
2019-04-01,45580.877
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,13841.273
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,14108.835
2019-12-01,101660.833
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,45316.723
2020-04-01,1918.171
2020-05-01,384.714
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,138760.256
2020-09-01,793.675
2020-10-01,232.223
2020-11-01,1501.222
2020-12-01,399.42
2021-01-01,1257.282
2021-02-01,36673.856
2021-03-01,19006.207
2021-04-01,323.332
2021-05-01,0.0
2021-06-01,512.541
2021-07-01,691.444
2021-08-01,1501.013
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,49147.304
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,25282.207
2022-06-01,1173.938
2022-07-01,0.0
2022-08-01,1.772
2022-09-01,12880.77
2022-10-01,58137.744
2022-11-01,1386.804
2022-12-01,1533.555
2023-01-01,12293.755
2023-02-01,13186.619
2023-03-01,1590.214
2023-04-01,1589.993
2023-05-01,455.449
2023-06-01,398.865
2023-07-01,3885.984
2023-08-01,1187.899
2023-09-01,4213.37
2023-10-01,380.357
2023-11-01,136.318
2023-12-01,1179.03
2024-01-01,680.814
2024-02-01,462.719
2024-03-01,75825.967
2024-04-01,1192.989
2024-05-01,9013.262
2024-06-01,0.0
2024-07-01,0.761
2024-08-01,0.0
2024-09-01,80.31
2024-10-01,6510.355
2024-11-01,509.508
2024-12-01,0.0
2025-01-01,0.0
2025-02-01,9.33
2025-03-01,0.0
2025-04-01,105.096
2025-05-01,187.766
2025-06-01,118.229
2025-07-01,0.0
2025-08-01,322.293
