Tarih,TP_AUITHULKE_KANA
2018-02-01,0.0
2018-03-01,0.0
2018-04-01,176286.986
2018-05-01,46947.432
2018-06-01,0.0
2018-07-01,40075.719
2018-08-01,11713.079
2018-09-01,0.0
2018-10-01,159.045
2018-11-01,39635.577
2018-12-01,11310.793
2019-01-01,13660.347
2019-02-01,1957.784
2019-03-01,0.0
2019-04-01,42194.202
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,98.109
2019-11-01,85049.848
2019-12-01,190.212
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,114.882
2020-04-01,0.0
2020-05-01,55.064
2020-06-01,2775.253
2020-07-01,0.0
2020-08-01,60.538
2020-09-01,0.0
2020-10-01,56.69
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,166.767
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,157.51
2021-08-01,0.0
2021-09-01,572.914
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,4536.753
2022-01-01,59.387
2022-02-01,873.54
2022-03-01,384.406
2022-04-01,42335.641
2022-05-01,31235.476
2022-06-01,0.0
2022-07-01,175.685
2022-08-01,2227.595
2022-09-01,3536.316
2022-10-01,29341.618
2022-11-01,6013.265
2022-12-01,796.889
2023-01-01,618.911
2023-02-01,50597.983
2023-03-01,6036.98
2023-04-01,5350.964
2023-05-01,13567.996
2023-06-01,9468.359
2023-07-01,1614.648
2023-08-01,10594.544
2023-09-01,6847.996
2023-10-01,15498.127
2023-11-01,8984.987
2023-12-01,14881.849
2024-01-01,839.272
2024-02-01,2329.77
2024-03-01,1399.655
2024-04-01,2999.388
2024-05-01,2008.807
2024-06-01,990.766
2024-07-01,1331.889
2024-08-01,917.538
2024-09-01,1456.342
2024-10-01,2617.862
2024-11-01,1572.224
2024-12-01,1385.089
2025-01-01,1373.219
2025-02-01,1646.361
2025-03-01,1163.02
2025-04-01,1450.588
2025-05-01,2029.266
2025-06-01,838.509
2025-07-01,2455.933
2025-08-01,632.013
