Tarih,TP_AUITHULKE_PERU
2018-02-01,1787.72
2018-03-01,3444.379
2018-04-01,2590.088
2018-05-01,6730.314
2018-06-01,3114.814
2018-07-01,1288.856
2018-08-01,0.0
2018-09-01,4499.491
2018-10-01,2781.82
2018-11-01,1047.244
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,0.0
2019-05-01,0.0
2019-06-01,1157.0
2019-07-01,5266.742
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,0.0
2019-12-01,2589.927
2020-01-01,16099.209
2020-02-01,13794.551
2020-03-01,10301.4
2020-04-01,28467.8
2020-05-01,12908.45
2020-06-01,11074.3
2020-07-01,12127.542
2020-08-01,21693.9
2020-09-01,23567.351
2020-10-01,18353.7
2020-11-01,25489.295
2020-12-01,30784.55
2021-01-01,23080.485
2021-02-01,15738.83
2021-03-01,6329.9
2021-04-01,17513.0
2021-05-01,14547.825
2021-06-01,14902.285
2021-07-01,24779.38
2021-08-01,15540.2
2021-09-01,17880.6
2021-10-01,14920.6
2021-11-01,19527.6
2021-12-01,24155.1
2022-01-01,19199.0
2022-02-01,16730.0
2022-03-01,29713.3
2022-04-01,22817.3
2022-05-01,22737.292
2022-06-01,19652.463
2022-07-01,18826.6
2022-08-01,20776.1
2022-09-01,20702.764
2022-10-01,19179.836
2022-11-01,20895.611
2022-12-01,17034.296
2023-01-01,13364.645
2023-02-01,21261.48
2023-03-01,15220.206
2023-04-01,16292.16
2023-05-01,25100.634
2023-06-01,11260.237
2023-07-01,24557.312
2023-08-01,24328.075
2023-09-01,18133.937
2023-10-01,22065.919
2023-11-01,18196.527
2023-12-01,4633.59
2024-01-01,6173.375
2024-02-01,0.0
2024-03-01,14426.641
2024-04-01,12449.095
2024-05-01,20937.127
2024-06-01,17091.815
2024-07-01,24142.794
2024-08-01,26579.251
2024-09-01,19837.039
2024-10-01,20089.472
2024-11-01,25494.646
2024-12-01,20419.92
2025-01-01,24298.692
2025-02-01,18533.676
2025-03-01,17512.437
2025-04-01,19792.446
2025-05-01,29591.641
2025-06-01,33026.872
2025-07-01,41842.823
2025-08-01,34468.319
