Tarih,TP_AUITHULKE_ISPA
2018-02-01,3742.244
2018-03-01,293.091
2018-04-01,172.655
2018-05-01,176.168
2018-06-01,307.636
2018-07-01,124.462
2018-08-01,116.484
2018-09-01,100.528
2018-10-01,117.139
2018-11-01,228.868
2018-12-01,795.746
2019-01-01,147.768
2019-02-01,305.602
2019-03-01,167.768
2019-04-01,344.647
2019-05-01,130.869
2019-06-01,161.111
2019-07-01,139.585
2019-08-01,160.188
2019-09-01,162.318
2019-10-01,380.251
2019-11-01,175.952
2019-12-01,320.025
2020-01-01,383.249
2020-02-01,19781.624
2020-03-01,243.164
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,263.871
2020-07-01,0.0
2020-08-01,318.89
2020-09-01,342.084
2020-10-01,341.339
2020-11-01,344.901
2020-12-01,1018.767
2021-01-01,0.348
2021-02-01,0.0
2021-03-01,337.93
2021-04-01,330.729
2021-05-01,980.836
2021-06-01,1408.17
2021-07-01,0.0
2021-08-01,481.991
2021-09-01,0.0
2021-10-01,314.189
2021-11-01,298.749
2021-12-01,293.639
2022-01-01,0.0
2022-02-01,305.898
2022-03-01,293.827
2022-04-01,0.0
2022-05-01,297.177
2022-06-01,298.536
2022-07-01,0.0
2022-08-01,293.821
2022-09-01,292.658
2022-10-01,0.0
2022-11-01,311.204
2022-12-01,0.0
2023-01-01,315.743
2023-02-01,323.047
2023-03-01,0.0
2023-04-01,366.252
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,353.937
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,14717.73
2023-11-01,655.325
2023-12-01,0.0
2024-01-01,599.795
2024-02-01,0.0
2024-03-01,552.812
2024-04-01,0.0
2024-05-01,595.062
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,655.072
2024-09-01,0.0
2024-10-01,20.081
2024-11-01,624.772
2024-12-01,86.423
2025-01-01,575.786
2025-02-01,0.0
2025-03-01,0.0
2025-04-01,765.262
2025-05-01,472.459
2025-06-01,0.0
2025-07-01,605.264
2025-08-01,0.115
