Tarih,TP_DT_IH_MIK_D12_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,78.8791854146
2013-02-01,83.8233798059
2013-03-01,90.6113440419
2013-04-01,88.5135876011
2013-05-01,92.7821086651
2013-06-01,88.8238342629
2013-07-01,96.201430961
2013-08-01,81.5151112749
2013-09-01,99.79352758
2013-10-01,91.2904595229
2013-11-01,112.6677960955
2013-12-01,97.992145662
2014-01-01,91.9892945296
2014-02-01,93.5997421532
2014-03-01,101.7187355258
2014-04-01,102.0070039772
2014-05-01,102.0200448847
2014-06-01,93.5102715955
2014-07-01,93.4551816061
2014-08-01,86.4547246186
2014-09-01,112.2530221354
2014-10-01,105.8178998769
2014-11-01,112.8954478363
2014-12-01,109.1865377942
2015-01-01,94.4930215708
2015-02-01,86.6136667601
2015-03-01,98.2745986133
2015-04-01,100.8051683848
2015-05-01,90.8584810774
2015-06-01,101.3170520407
2015-07-01,91.4922037608
2015-08-01,94.479270328
2015-09-01,99.2960067665
2015-10-01,119.9417822465
2015-11-01,113.082219222
2015-12-01,109.3465292291
2016-01-01,84.3907477905
2016-02-01,100.0847857006
