Tarih,TP_DT_IH_MIK_D14_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,66.7209029443
2013-02-01,75.7170660928
2013-03-01,83.5528687483
2013-04-01,88.0579207835
2013-05-01,93.1110747056
2013-06-01,87.6950730812
2013-07-01,92.6107760836
2013-08-01,80.1666562374
2013-09-01,100.0447200043
2013-10-01,97.1663573449
2013-11-01,111.7166444013
2013-12-01,100.9969059503
2014-01-01,88.3537611881
2014-02-01,91.6119304657
2014-03-01,105.5741354227
2014-04-01,104.5844259785
2014-05-01,102.3763962814
2014-06-01,91.450249767
2014-07-01,86.8890472667
2014-08-01,86.5932084305
2014-09-01,127.8628013757
2014-10-01,118.0774296771
2014-11-01,131.8154992439
2014-12-01,121.302671563
2015-01-01,88.5101813174
2015-02-01,80.5605217063
2015-03-01,95.4857494586
2015-04-01,101.8699007714
2015-05-01,100.4906253317
2015-06-01,104.5821153285
2015-07-01,85.8642649801
2015-08-01,102.2156001216
2015-09-01,102.4352809453
2015-10-01,120.7747400705
2015-11-01,109.7023867678
2015-12-01,107.5086332009
2016-01-01,78.048415751
2016-02-01,92.0597373371
