Tarih,TP_DT_IH_MIK_D05_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,89.5490351344
2013-02-01,93.6597199888
2013-03-01,104.0755945854
2013-04-01,100.1232535349
2013-05-01,105.5338066597
2013-06-01,91.8071033495
2013-07-01,98.110621917
2013-08-01,87.5547065585
2013-09-01,95.7143461913
2013-10-01,90.4322573743
2013-11-01,102.5082700099
2013-12-01,93.8925978379
2014-01-01,92.9128913876
2014-02-01,98.5273434344
2014-03-01,115.6838221341
2014-04-01,96.4097814762
2014-05-01,99.5825747045
2014-06-01,92.2669335201
2014-07-01,94.1756983862
2014-08-01,85.1340687185
2014-09-01,95.5797545293
2014-10-01,90.9120654903
2014-11-01,90.3978119807
2014-12-01,94.7135539839
2015-01-01,101.303634501
2015-02-01,108.5064945192
2015-03-01,110.8066616787
2015-04-01,119.794471219
2015-05-01,90.2363660308
2015-06-01,94.4935107363
2015-07-01,90.4239126952
2015-08-01,91.2857673255
2015-09-01,96.6459320569
2015-10-01,109.3454426132
2015-11-01,94.1793908473
2015-12-01,92.978415777
2016-01-01,83.1951892907
2016-02-01,115.6621338795
