Tarih,TP_DT_IH_MIK_D19_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,71.0927658125
2013-02-01,81.7084148855
2013-03-01,65.9977575389
2013-04-01,82.4420020374
2013-05-01,82.0305249008
2013-06-01,85.1109866472
2013-07-01,69.3242155344
2013-08-01,76.6539604737
2013-09-01,69.807655299
2013-10-01,65.6458841247
2013-11-01,72.2511327009
2013-12-01,69.4915514442
2014-01-01,66.7436755612
2014-02-01,59.6203829693
2014-03-01,58.8156530384
2014-04-01,67.2972435179
2014-05-01,62.8939176494
2014-06-01,56.3303702642
2014-07-01,76.726852564
2014-08-01,75.9528017042
2014-09-01,84.7785808376
2014-10-01,89.3239190977
2014-11-01,107.7388417752
2014-12-01,94.1752089038
2015-01-01,108.6594690868
2015-02-01,71.1715995166
2015-03-01,103.6816977787
2015-04-01,95.1400376784
2015-05-01,67.1174570778
2015-06-01,102.7647662156
2015-07-01,112.1192042569
2015-08-01,100.3903157225
2015-09-01,89.1009264235
2015-10-01,109.3917715974
2015-11-01,115.4315049491
2015-12-01,125.0312496966
2016-01-01,90.5661019549
2016-02-01,101.740588836
