Tarih,TP_DT_IH_MIK_D17_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,115.9392891973
2013-02-01,90.7978071217
2013-03-01,88.9358048631
2013-04-01,86.7420201349
2013-05-01,91.7147971849
2013-06-01,86.4807265627
2013-07-01,84.0673390327
2013-08-01,70.9035214937
2013-09-01,107.6518911253
2013-10-01,113.0444774238
2013-11-01,150.3747415629
2013-12-01,139.4994913847
2014-01-01,111.1781726295
2014-02-01,112.5656174024
2014-03-01,101.3293417616
2014-04-01,103.5610749928
2014-05-01,102.0957153764
2014-06-01,90.648022446
2014-07-01,72.8746440434
2014-08-01,78.3570171588
2014-09-01,97.8118326787
2014-10-01,116.2533117699
2014-11-01,135.1394006776
2014-12-01,144.243764507
2015-01-01,109.3734229101
2015-02-01,88.735809681
2015-03-01,88.4946595558
2015-04-01,87.4172323608
2015-05-01,83.8931053728
2015-06-01,85.0315192476
2015-07-01,71.5115476179
2015-08-01,61.2146086023
2015-09-01,89.7298712271
2015-10-01,148.4358024739
2015-11-01,139.3397030019
2015-12-01,146.8227179487
2016-01-01,92.8759180067
2016-02-01,101.4628155515
