Tarih,TP_AKONUTSAT3_TOPLAM
2016-09-01,50972.0
2016-10-01,61677.0
2016-11-01,63467.0
2016-12-01,71792.0
2017-01-01,44235.0
2017-02-01,45215.0
2017-03-01,56376.0
2017-04-01,51988.0
2017-05-01,52976.0
2017-06-01,45433.0
2017-07-01,53949.0
2017-08-01,56498.0
2017-09-01,70019.0
2017-10-01,56994.0
2017-11-01,59354.0
2017-12-01,66661.0
2018-01-01,44363.0
2018-02-01,43713.0
2018-03-01,50701.0
2018-04-01,47534.0
2018-05-01,55502.0
2018-06-01,57064.0
2018-07-01,57617.0
2018-08-01,49362.0
2018-09-01,60219.0
2018-10-01,74815.0
2018-11-01,40821.0
2018-12-01,69861.0
2019-01-01,31048.0
2019-02-01,32648.0
2019-03-01,44163.0
2019-04-01,37784.0
2019-05-01,37246.0
2019-06-01,23265.0
2019-07-01,38931.0
2019-08-01,40634.0
2019-09-01,51393.0
2019-10-01,50181.0
2019-11-01,48909.0
2019-12-01,75480.0
2020-01-01,36040.0
2020-02-01,37303.0
2020-03-01,34089.0
2020-04-01,14848.0
2020-05-01,16860.0
2020-06-01,58632.0
2020-07-01,67937.0
2020-08-01,52123.0
2020-09-01,41376.0
2020-10-01,36976.0
2020-11-01,36658.0
2020-12-01,36898.0
2021-01-01,22268.0
2021-02-01,24737.0
2021-03-01,33365.0
2021-04-01,29212.0
2021-05-01,18204.0
2021-06-01,40092.0
2021-07-01,32672.0
2021-08-01,42639.0
2021-09-01,43967.0
2021-10-01,41914.0
2021-11-01,55706.0
2021-12-01,76747.0
2022-01-01,27203.0
2022-02-01,28897.0
2022-03-01,38337.0
2022-04-01,36421.0
2022-05-01,32861.0
2022-06-01,44732.0
2022-07-01,28688.0
2022-08-01,39025.0
2022-09-01,35954.0
2022-10-01,32692.0
2022-11-01,37380.0
2022-12-01,77889.0
2023-01-01,27532.0
2023-02-01,23476.0
2023-03-01,32899.0
2023-04-01,26952.0
2023-05-01,34413.0
2023-06-01,25886.0
2023-07-01,31641.0
2023-08-01,35310.0
2023-09-01,30488.0
2023-10-01,29230.0
2023-11-01,30472.0
2023-12-01,51243.0
2024-01-01,25263.0
2024-02-01,28594.0
2024-03-01,34399.0
2024-04-01,24085.0
2024-05-01,35558.0
2024-06-01,25425.0
2024-07-01,40784.0
2024-08-01,41913.0
2024-09-01,44858.0
2024-10-01,57679.0
2024-11-01,49274.0
2024-12-01,76629.0
2025-01-01,32785.0
2025-02-01,33784.0
2025-03-01,33307.0
2025-04-01,34633.0
2025-05-01,39546.0
2025-06-01,33569.0
2025-07-01,43984.0
2025-08-01,43916.0
2025-09-01,47117.0
