Tarih,TP_DT_IT_MIK_D04_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,90.1672117216
2013-02-01,89.8632711496
2013-03-01,94.2350642442
2013-04-01,107.6897575506
2013-05-01,108.7373832014
2013-06-01,99.9051168711
2013-07-01,111.2235126853
2013-08-01,87.5854001848
2013-09-01,97.3200342325
2013-10-01,92.18901352
2013-11-01,99.3293103904
2013-12-01,106.7347524346
2014-01-01,96.1721320495
2014-02-01,86.7797368996
2014-03-01,94.7918240015
2014-04-01,97.4097336962
2014-05-01,99.9551387401
2014-06-01,101.7436454361
2014-07-01,94.6162494297
2014-08-01,95.4843513439
2014-09-01,102.7677943218
2014-10-01,96.0747875624
2014-11-01,109.5381714102
2014-12-01,108.2340287603
2015-01-01,93.0320439526
2015-02-01,97.7348060977
2015-03-01,106.769739471
2015-04-01,99.2713443239
2015-05-01,98.3215609974
2015-06-01,99.2007801398
2015-07-01,103.0741290747
2015-08-01,94.1345839718
2015-09-01,92.7660705198
2015-10-01,100.6262436296
2015-11-01,99.0032185669
2015-12-01,116.0654792548
2016-01-01,94.2280671682
2016-02-01,103.4326959667
