Tarih,TP_DT_IT_MIK_D08_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,103.0586920466
2013-02-01,90.649797444
2013-03-01,105.8507176569
2013-04-01,99.551026692
2013-05-01,107.8561950318
2013-06-01,108.4672732069
2013-07-01,126.1058667128
2013-08-01,95.7548298786
2013-09-01,110.7365759937
2013-10-01,105.8823462093
2013-11-01,117.1578906976
2013-12-01,127.1572499127
2014-01-01,96.7810189749
2014-02-01,89.5076902127
2014-03-01,108.3282648766
2014-04-01,103.5974058098
2014-05-01,106.9406429471
2014-06-01,100.696134256
2014-07-01,98.3339386089
2014-08-01,103.00939679
2014-09-01,100.9365846052
2014-10-01,100.6681311749
2014-11-01,97.4148962612
2014-12-01,110.447723781
2015-01-01,86.9310379691
2015-02-01,105.590627965
2015-03-01,108.4869424415
2015-04-01,97.9490164349
2015-05-01,95.3663169467
2015-06-01,102.7330532405
2015-07-01,98.5232427305
2015-08-01,92.0625308739
2015-09-01,95.8710622023
2015-10-01,101.6183384375
2015-11-01,103.7192808683
2015-12-01,111.1485498899
2016-01-01,94.0180134435
2016-02-01,107.2850309962
