Tarih,TP_DT_IT_MIK_D03_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,88.5877869648
2013-02-01,95.9549583689
2013-03-01,102.5366298302
2013-04-01,107.2869783452
2013-05-01,117.8859201005
2013-06-01,106.4548446581
2013-07-01,118.9716298529
2013-08-01,91.4131960209
2013-09-01,107.7876710602
2013-10-01,98.7116003494
2013-11-01,106.4294202103
2013-12-01,118.4101352151
2014-01-01,90.6649006875
2014-02-01,88.4705336394
2014-03-01,103.5907054401
2014-04-01,102.510922162
2014-05-01,95.1142440564
2014-06-01,94.6793515495
2014-07-01,95.2542573503
2014-08-01,95.9390814386
2014-09-01,100.9526629534
2014-10-01,102.3329121747
2014-11-01,95.7007274853
2014-12-01,122.0459351107
2015-01-01,93.4563607913
2015-02-01,92.7992754305
2015-03-01,106.5847523061
2015-04-01,99.3309555757
2015-05-01,101.2954307959
2015-06-01,106.150210351
2015-07-01,114.2525421403
2015-08-01,90.0526753974
2015-09-01,85.5682704483
2015-10-01,103.1603968973
2015-11-01,91.4314446031
2015-12-01,115.9176852628
2016-01-01,88.3165910456
2016-02-01,97.7216625245
