Tarih,TP_DT_IT_MIK_D01_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,87.7355890902
2013-02-01,89.6039401546
2013-03-01,95.8637063069
2013-04-01,105.9135074998
2013-05-01,108.297431938
2013-06-01,99.5224927047
2013-07-01,111.8704412542
2013-08-01,88.3171015554
2013-09-01,98.1865511934
2013-10-01,92.5930931678
2013-11-01,99.9541932312
2013-12-01,106.6390305028
2014-01-01,92.4854819627
2014-02-01,86.5072716632
2014-03-01,96.6378629311
2014-04-01,96.9722670724
2014-05-01,98.4811869299
2014-06-01,99.1071530275
2014-07-01,95.0976398737
2014-08-01,94.2593544321
2014-09-01,100.7048767127
2014-10-01,95.9199855444
2014-11-01,105.1013383758
2014-12-01,110.0878823894
2015-01-01,89.3116222111
2015-02-01,94.9570880999
2015-03-01,106.8670523978
2015-04-01,104.0417726875
2015-05-01,99.9105543945
2015-06-01,102.052963513
2015-07-01,106.6149182955
2015-08-01,93.6531150806
2015-09-01,92.5527026874
2015-10-01,101.0896774808
2015-11-01,96.3738238752
2015-12-01,112.5747092766
2016-01-01,87.583120484
2016-02-01,102.0834453736
