Tarih,TP_DT_IT_MIK_D13_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,74.7925564393
2013-02-01,88.7570007725
2013-03-01,105.9599162288
2013-04-01,97.1638078348
2013-05-01,104.0634326438
2013-06-01,94.404915502
2013-07-01,113.9795432056
2013-08-01,93.7471282261
2013-09-01,103.7100485397
2013-10-01,98.0837444601
2013-11-01,105.1883414141
2013-12-01,101.7468371744
2014-01-01,84.6763104572
2014-02-01,88.4308977079
2014-03-01,101.6493539646
2014-04-01,87.347261656
2014-05-01,94.8140657913
2014-06-01,89.9365625821
2014-07-01,97.3274272293
2014-08-01,93.5621819758
2014-09-01,95.2142669403
2014-10-01,97.2367849998
2014-11-01,96.8895659388
2014-12-01,109.8943146232
2015-01-01,76.3812539508
2015-02-01,92.258030769
2015-03-01,114.3214132476
2015-04-01,104.3157540971
2015-05-01,97.3303931742
2015-06-01,111.4181733111
2015-07-01,113.1876584981
2015-08-01,99.5478383069
2015-09-01,88.6719740029
2015-10-01,108.2305848246
2015-11-01,92.9149616703
2015-12-01,101.4219641473
2016-01-01,71.3579223619
2016-02-01,99.8345605229
