Tarih,TP_DT_IT_MIK_D19_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,68.6751641787
2013-02-01,66.3350912338
2013-03-01,83.8243609216
2013-04-01,89.1221988592
2013-05-01,100.1443383601
2013-06-01,75.7905423358
2013-07-01,99.4515366308
2013-08-01,77.0151201381
2013-09-01,73.0590001847
2013-10-01,72.7560218653
2013-11-01,94.0302964697
2013-12-01,98.0931443352
2014-01-01,77.0459293148
2014-02-01,85.0279988084
2014-03-01,98.4765962502
2014-04-01,106.8171795298
2014-05-01,109.8267504566
2014-06-01,89.7975943229
2014-07-01,83.5873235182
2014-08-01,82.5715936435
2014-09-01,90.4815654248
2014-10-01,87.5240076985
2014-11-01,93.4613244178
2014-12-01,109.3367787996
2015-01-01,82.8575070528
2015-02-01,80.892507265
2015-03-01,104.585479093
2015-04-01,102.8564848052
2015-05-01,99.2014366428
2015-06-01,99.4242038094
2015-07-01,102.4929497589
2015-08-01,95.4519034053
2015-09-01,95.1741657809
2015-10-01,108.6836532421
2015-11-01,101.4549217069
2015-12-01,126.9247874376
2016-01-01,84.1844802297
2016-02-01,91.0380231792
