Tarih,TP_DT_IT_MIK_D11_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,87.2409051597
2013-02-01,78.4946184653
2013-03-01,80.738631035
2013-04-01,80.0434360948
2013-05-01,89.9055453852
2013-06-01,79.629257996
2013-07-01,87.5450850728
2013-08-01,77.5692283473
2013-09-01,79.4304451226
2013-10-01,85.7900494898
2013-11-01,86.4911726766
2013-12-01,105.1701451324
2014-01-01,118.9428230796
2014-02-01,65.7251291478
2014-03-01,106.3858893647
2014-04-01,102.6993660462
2014-05-01,136.8998090432
2014-06-01,105.8580182125
2014-07-01,70.6068212473
2014-08-01,81.1509466797
2014-09-01,56.3378059699
2014-10-01,120.8526384086
2014-11-01,91.7978481842
2014-12-01,122.2073617951
2015-01-01,114.0401020831
2015-02-01,118.8753922001
2015-03-01,129.2402466761
2015-04-01,101.7100661441
2015-05-01,91.0445493592
2015-06-01,96.5038343178
2015-07-01,113.3269180316
2015-08-01,64.7620278424
2015-09-01,38.9060143366
2015-10-01,85.7274879707
2015-11-01,102.1296417498
2015-12-01,143.7337192883
2016-01-01,98.2588143988
2016-02-01,118.6204562653
