Tarih,TP_DT_IT_MIK_D10_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,81.0290579981
2013-02-01,72.5929958817
2013-03-01,101.3900137976
2013-04-01,69.8654960261
2013-05-01,85.6136033953
2013-06-01,71.1898009818
2013-07-01,70.640654277
2013-08-01,66.7269606248
2013-09-01,87.0174943164
2013-10-01,55.3806185331
2013-11-01,74.6921627836
2013-12-01,100.8196071623
2014-01-01,78.9004524578
2014-02-01,64.3258411362
2014-03-01,93.000186028
2014-04-01,110.1260675252
2014-05-01,123.9021213369
2014-06-01,116.9391990117
2014-07-01,88.1094732712
2014-08-01,124.1957599577
2014-09-01,124.0119855402
2014-10-01,125.6683016171
2014-11-01,118.7714544745
2014-12-01,120.1584026622
2015-01-01,122.2882240815
2015-02-01,118.9003825238
2015-03-01,118.5589324109
2015-04-01,88.7757015687
2015-05-01,87.6811810508
2015-06-01,98.2629805052
2015-07-01,73.9509036767
2015-08-01,92.7468866497
2015-09-01,61.5115944325
2015-10-01,102.9776397005
2015-11-01,108.949039616
2015-12-01,125.3965337837
2016-01-01,85.5688346355
2016-02-01,95.4839371281
