Tarih,TP_TRY_MT03_S
2016-10-01,12.5
2016-11-01,13.5
2016-12-01,12.25
2017-01-01,12.25
2017-02-01,13.0
2017-03-01,13.75
2017-04-01,14.75
2017-05-01,15.0
2017-06-01,15.4
2017-07-01,15.25
2017-08-01,15.25
2017-09-01,15.2
2017-10-01,15.05
2017-11-01,15.06
2017-12-01,16.52
2018-01-01,15.9
2018-02-01,16.07
2018-03-01,16.12
2018-04-01,15.97
2018-05-01,17.25
2018-06-01,20.2
2018-07-01,21.75
2018-08-01,25.5
2018-09-01,32.5
2018-10-01,32.0
2018-11-01,27.25
2018-12-01,28.9
2019-01-01,28.9
2019-02-01,27.0
2019-03-01,28.9
2019-04-01,25.52
2019-05-01,25.7
2019-06-01,28.02
2019-07-01,25.5
2019-08-01,23.5
2019-09-01,18.65
2019-10-01,19.0
2019-11-01,23.0
2019-12-01,19.68
2020-01-01,16.0
2020-02-01,11.25
2020-03-01,12.0
2020-04-01,12.5
2020-05-01,10.0
2020-06-01,11.25
2020-07-01,10.0
2020-08-01,13.5
2020-09-01,14.0
2020-10-01,15.1
2020-11-01,17.15
2020-12-01,19.3
2021-01-01,19.0
2021-02-01,18.5
2021-03-01,20.0
2021-04-01,20.25
2021-05-01,20.25
2021-06-01,20.25
2021-07-01,20.0
2021-08-01,20.0
2021-09-01,20.0
2021-10-01,20.0
2021-11-01,18.0
2021-12-01,28.0
2022-01-01,26.17
2022-02-01,23.0
2022-03-01,21.5
2022-04-01,20.25
2022-05-01,21.0
2022-06-01,28.5
2022-07-01,29.0
2022-08-01,29.0
2022-09-01,27.0
2022-10-01,30.5
2022-11-01,29.5
2022-12-01,34.0
2023-01-01,35.0
2023-02-01,38.0
2023-03-01,39.0
2023-04-01,37.0
2023-05-01,48.0
2023-06-01,51.5
2023-07-01,45.0
2023-08-01,60.0
2023-09-01,65.0
2023-10-01,65.0
2023-11-01,67.0
2023-12-01,70.0
2024-01-01,70.0
2024-02-01,70.0
2024-03-01,80.0
2024-04-01,78.0
2024-05-01,80.0
2024-06-01,60.0
2024-07-01,60.64
2024-08-01,68.0
2024-09-01,70.0
2024-10-01,58.0
2024-11-01,55.0
2024-12-01,58.5
2025-01-01,55.0
2025-02-01,50.0
2025-03-01,60.0
2025-04-01,52.0
2025-05-01,52.05
2025-06-01,51.5
2025-07-01,53.0
2025-08-01,49.0
