Tarih,TP_TRY_MT05_S
2016-10-01,14.15
2016-11-01,14.15
2016-12-01,13.8
2017-01-01,13.8
2017-02-01,13.8
2017-03-01,13.6
2017-04-01,14.55
2017-05-01,15.0
2017-06-01,15.25
2017-07-01,15.0
2017-08-01,15.0
2017-09-01,14.5
2017-10-01,15.2
2017-11-01,15.5
2017-12-01,16.0
2018-01-01,16.0
2018-02-01,15.75
2018-03-01,15.81
2018-04-01,16.0
2018-05-01,17.75
2018-06-01,20.35
2018-07-01,22.57
2018-08-01,26.25
2018-09-01,33.0
2018-10-01,30.0
2018-11-01,30.0
2018-12-01,27.0
2019-01-01,26.0
2019-02-01,25.0
2019-03-01,23.0
2019-04-01,26.04
2019-05-01,25.5
2019-06-01,24.85
2019-07-01,25.0
2019-08-01,25.0
2019-09-01,20.25
2019-10-01,21.9
2019-11-01,23.0
2019-12-01,19.75
2020-01-01,13.84
2020-02-01,11.75
2020-03-01,13.87
2020-04-01,13.11
2020-05-01,11.94
2020-06-01,12.39
2020-07-01,10.5
2020-08-01,14.0
2020-09-01,15.55
2020-10-01,15.57
2020-11-01,18.47
2020-12-01,20.8
2021-01-01,19.0
2021-02-01,18.39
2021-03-01,20.92
2021-04-01,20.92
2021-05-01,20.94
2021-06-01,20.97
2021-07-01,20.94
2021-08-01,20.35
2021-09-01,20.94
2021-10-01,20.0
2021-11-01,20.08
2021-12-01,24.0
2022-01-01,28.38
2022-02-01,28.2
2022-03-01,28.33
2022-04-01,28.33
2022-05-01,26.28
2022-06-01,32.0
2022-07-01,33.0
2022-08-01,33.0
2022-09-01,31.0
2022-10-01,30.0
2022-11-01,27.5
2022-12-01,32.5
2023-01-01,30.0
2023-02-01,34.5
2023-03-01,40.0
2023-04-01,40.0
2023-05-01,42.0
2023-06-01,46.75
2023-07-01,45.0
2023-08-01,43.0
2023-09-01,51.0
2023-10-01,57.0
2023-11-01,57.0
2023-12-01,63.5
2024-01-01,60.0
2024-02-01,58.0
2024-03-01,70.0
2024-04-01,70.0
2024-05-01,68.0
2024-06-01,58.0
2024-07-01,58.0
2024-08-01,59.9
2024-09-01,54.71
2024-10-01,59.9
2024-11-01,50.0
2024-12-01,50.76
2025-01-01,48.78
2025-02-01,46.47
2025-03-01,45.43
2025-04-01,49.83
2025-05-01,51.29
2025-06-01,49.0
2025-07-01,47.5
2025-08-01,45.95
