Tarih,TP_ITHALATBEC_31
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,65052.552
2013-02-01,41027.936
2013-03-01,66803.211
2013-04-01,157519.912
2013-05-01,12837.995
2013-06-01,82435.456
2013-07-01,88076.617
2013-08-01,71325.93
2013-09-01,69030.672
2013-10-01,26310.155
2013-11-01,86247.729
2013-12-01,84110.935
2014-01-01,101001.113
2014-02-01,34373.619
2014-03-01,59221.9
2014-04-01,93622.611
2014-05-01,98931.465
2014-06-01,30995.503
2014-07-01,76472.704
2014-08-01,61988.253
2014-09-01,41268.206
2014-10-01,69583.827
2014-11-01,62343.916
2014-12-01,78352.836
2015-01-01,241474.386
2015-02-01,265710.439
2015-03-01,248446.65
2015-04-01,263456.726
2015-05-01,240061.434
2015-06-01,234274.798
2015-07-01,184057.155
2015-08-01,241382.975
2015-09-01,231880.938
2015-10-01,243905.56
2015-11-01,253972.006
2015-12-01,298530.662
2016-01-01,202356.426
2016-02-01,248030.564
2016-03-01,212331.018
2016-04-01,153091.462
2016-05-01,153422.026
2016-06-01,214853.169
2016-07-01,209605.062
2016-08-01,205625.347
2016-09-01,169607.418
