Tarih,TP_ITHALATBEC_322
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,1514464.15
2013-02-01,1474922.959
2013-03-01,1508455.667
2013-04-01,1552914.871
2013-05-01,1739869.77
2013-06-01,1416453.369
2013-07-01,1765341.081
2013-08-01,1630171.06
2013-09-01,1795444.629
2013-10-01,1689115.81
2013-11-01,1565864.88
2013-12-01,1545589.396
2014-01-01,1565636.81
2014-02-01,1330434.76
2014-03-01,1543358.576
2014-04-01,1472163.541
2014-05-01,1490995.058
2014-06-01,1826023.334
2014-07-01,1902857.522
2014-08-01,1624663.806
2014-09-01,1764584.086
2014-10-01,1440279.235
2014-11-01,1224539.585
2014-12-01,1392178.275
2015-01-01,945616.334
2015-02-01,874512.668
2015-03-01,1116367.511
2015-04-01,898918.248
2015-05-01,1022655.67
2015-06-01,1023310.253
2015-07-01,1103273.646
2015-08-01,780702.53
2015-09-01,932338.266
2015-10-01,849765.766
2015-11-01,664478.023
2015-12-01,756143.413
2016-01-01,531491.0
2016-02-01,541638.562
2016-03-01,676112.316
2016-04-01,620213.755
2016-05-01,721314.723
2016-06-01,852932.483
