Tarih,TP_ITHALATBEC_21
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,1066846.764
2013-02-01,1075754.916
2013-03-01,1275623.231
2013-04-01,1439353.52
2013-05-01,1199512.605
2013-06-01,1219546.331
2013-07-01,1229431.155
2013-08-01,906236.228
2013-09-01,1167997.961
2013-10-01,1175810.597
2013-11-01,1083660.232
2013-12-01,1308366.029
2014-01-01,1251682.338
2014-02-01,964718.032
2014-03-01,1144857.025
2014-04-01,1261052.487
2014-05-01,1274012.641
2014-06-01,1195767.589
2014-07-01,1163507.441
2014-08-01,1044935.59
2014-09-01,1068496.359
2014-10-01,1122492.196
2014-11-01,1051752.481
2014-12-01,965212.633
2015-01-01,889876.551
2015-02-01,943231.392
2015-03-01,978704.724
2015-04-01,835621.726
2015-05-01,937595.703
2015-06-01,809477.199
2015-07-01,816652.31
2015-08-01,655414.949
2015-09-01,559802.31
2015-10-01,662093.891
2015-11-01,712845.185
2015-12-01,832028.49
2016-01-01,602817.492
2016-02-01,652381.627
2016-03-01,872795.165
2016-04-01,748794.005
2016-05-01,853957.919
2016-06-01,987646.57
2016-07-01,628695.329
