Tarih,TP_PKAUO_S04_B_U
2017-02-01,8.43
2017-03-01,8.31
2017-04-01,8.21
2017-05-01,8.1
2017-06-01,8.0
2017-07-01,8.0
2017-08-01,8.0
2017-09-01,8.0
2017-10-01,8.0
2017-11-01,8.0
2017-12-01,8.0
2018-01-01,8.0
2018-02-01,8.0
2018-03-01,8.0
2018-04-01,8.0
2018-05-01,8.29
2018-06-01,17.75
2018-07-01,18.56
2018-08-01,20.05
2018-09-01,22.02
2018-10-01,24.12
2018-11-01,24.0
2018-12-01,24.0
2019-01-01,23.47
2019-02-01,23.42
2019-03-01,22.63
2019-04-01,23.16
2019-05-01,24.0
2019-06-01,22.62
2019-07-01,19.47
2019-08-01,16.91
2019-09-01,15.66
2019-10-01,15.04
2019-11-01,12.62
2019-12-01,12.15
2020-01-01,10.96
2020-02-01,10.48
2020-03-01,9.82
2020-04-01,8.93
2020-05-01,8.11
2020-06-01,7.83
2020-07-01,8.06
2020-08-01,9.06
2020-09-01,9.5
2020-10-01,12.39
2020-11-01,14.67
2020-12-01,16.39
2021-01-01,17.0
2021-02-01,17.0
2021-03-01,17.64
2021-04-01,18.41
2021-05-01,18.24
2021-06-01,18.35
2021-07-01,18.72
2021-08-01,19.0
2021-09-01,18.02
2021-10-01,16.6
2021-11-01,14.74
2021-12-01,14.28
2022-01-01,14.0
2022-02-01,14.0
2022-03-01,14.0
2022-04-01,14.0
2022-05-01,14.0
2022-06-01,14.0
2022-07-01,14.0
2022-08-01,14.0
2022-09-01,12.59
2022-10-01,9.41
2022-11-01,9.0
2022-12-01,9.0
2023-01-01,9.0
2023-02-01,9.0
2023-03-01,8.5
2023-04-01,8.5
2023-05-01,8.5
2023-06-01,21.65
2023-07-01,24.79
2023-08-01,25.0
2023-09-01,34.73
2023-10-01,37.27
2023-11-01,40.0
2023-12-01,43.76
2024-01-01,45.0
2024-02-01,45.0
2024-03-01,46.85
2024-04-01,50.0
2024-05-01,50.0
2024-06-01,50.0
2024-07-01,50.0
2024-08-01,48.1
2024-09-01,46.48
2024-10-01,46.26
2024-11-01,45.38
2024-12-01,43.5
2025-01-01,40.91
2025-02-01,40.0
2025-03-01,37.7
2025-04-01,39.24
2025-05-01,42.96
