Tarih,TP_METALITH_G667
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,1650.371
2013-02-01,987.528
2013-03-01,2079.917
2013-04-01,3405.199
2013-05-01,2242.907
2013-06-01,1924.225
2013-07-01,2229.032
2013-08-01,1370.475
2013-09-01,4058.635
2013-10-01,1904.367
2013-11-01,1377.569
2013-12-01,2664.36
2014-01-01,1853.95
2014-02-01,1839.716
2014-03-01,4977.389
2014-04-01,1225.821
2014-05-01,2528.152
2014-06-01,2428.505
2014-07-01,3728.924
2014-08-01,1104.622
2014-09-01,2599.915
2014-10-01,12536.786
2014-11-01,2642.841
2014-12-01,6982.299
2015-01-01,11544.488
2015-02-01,8315.522
2015-03-01,4704.547
2015-04-01,3585.745
2015-05-01,2943.669
2015-06-01,2522.026
2015-07-01,4497.563
2015-08-01,2602.493
2015-09-01,7941.821
2015-10-01,4324.479
2015-11-01,3642.686
2015-12-01,4658.719
2016-01-01,8230.306
2016-02-01,4604.382
2016-03-01,10726.46
2016-04-01,6744.342
2016-05-01,6883.071
2016-06-01,6953.262
2016-07-01,5723.781
2016-08-01,3535.671
2016-09-01,5430.117
