Tarih,TP_METALITH_G667
2016-10-01,7903.795
2016-11-01,9890.551
2016-12-01,10526.572
2017-01-01,4664.073
2017-02-01,4840.449
2017-03-01,6750.419
2017-04-01,5470.424
2017-05-01,7044.238
2017-06-01,7400.195
2017-07-01,6188.256
2017-08-01,6601.855
2017-09-01,8026.428
2017-10-01,7820.36
2017-11-01,9716.098
2017-12-01,8544.549
2018-01-01,18643.057
2018-02-01,18480.125
2018-03-01,24186.951
2018-04-01,20883.877
2018-05-01,20252.044
2018-06-01,15473.289
2018-07-01,13577.74
2018-08-01,10316.481
2018-09-01,6825.057
2018-10-01,10488.521
2018-11-01,10565.359
2018-12-01,11524.88
2019-01-01,17678.959
2019-02-01,14942.236
2019-03-01,20479.047
2019-04-01,16968.961
2019-05-01,19656.045
2019-06-01,12043.941
2019-07-01,14997.304
2019-08-01,16135.94
2019-09-01,15990.721
2019-10-01,25545.553
2019-11-01,16487.25
2019-12-01,17803.039
2020-01-01,26047.098
2020-02-01,13067.671
2020-03-01,21983.397
2020-04-01,429.207
2020-05-01,182.044
2020-06-01,3592.133
2020-07-01,6137.247
2020-08-01,9222.257
2020-09-01,10599.83
2020-10-01,10700.262
2020-11-01,11093.782
2020-12-01,13374.916
2021-01-01,9472.388
2021-02-01,11404.264
2021-03-01,13862.841
2021-04-01,9237.45
2021-05-01,4532.207
2021-06-01,13613.577
2021-07-01,15649.74
2021-08-01,14320.683
2021-09-01,16044.557
2021-10-01,11562.507
2021-11-01,10727.78
2021-12-01,9961.935
2022-01-01,6273.778
2022-02-01,28065.312
2022-03-01,19564.315
2022-04-01,20691.546
2022-05-01,22233.928
2022-06-01,11883.543
2022-07-01,13821.206
2022-08-01,15937.541
2022-09-01,15991.38
2022-10-01,21596.254
2022-11-01,9256.312
2022-12-01,9593.489
2023-01-01,26608.25
2023-02-01,19157.129
2023-03-01,12490.793
2023-04-01,9113.536
2023-05-01,11934.927
2023-06-01,8578.731
2023-07-01,16713.057
2023-08-01,12892.495
2023-09-01,8662.456
2023-10-01,9220.695
2023-11-01,14003.555
2023-12-01,11077.841
2024-01-01,10879.71
2024-02-01,27565.678
2024-03-01,14092.073
2024-04-01,13957.331
2024-05-01,15546.148
2024-06-01,7295.132
2024-07-01,12250.757
2024-08-01,23008.338
2024-09-01,19037.446
2024-10-01,18129.862
2024-11-01,14815.819
2024-12-01,9437.396
2025-01-01,9305.579
2025-02-01,13478.181
2025-03-01,18457.642
2025-04-01,19888.049
2025-05-01,9248.197
2025-06-01,10541.617
2025-07-01,9420.243
2025-08-01,8777.714
