Tarih,TP_METALITH_G897
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,57371.617
2013-02-01,66343.018
2013-03-01,97366.91
2013-04-01,60844.836
2013-05-01,66491.429
2013-06-01,66443.396
2013-07-01,82145.279
2013-08-01,53135.111
2013-09-01,95449.691
2013-10-01,67060.869
2013-11-01,85972.942
2013-12-01,76741.755
2014-01-01,55508.796
2014-02-01,68656.723
2014-03-01,95996.833
2014-04-01,63914.11
2014-05-01,68749.444
2014-06-01,69652.926
2014-07-01,62431.949
2014-08-01,61240.64
2014-09-01,64628.551
2014-10-01,59647.403
2014-11-01,54142.878
2014-12-01,63535.602
2015-01-01,33814.563
2015-02-01,48912.093
2015-03-01,67271.933
2015-04-01,41301.149
2015-05-01,43857.008
2015-06-01,43666.189
2015-07-01,42767.617
2015-08-01,36359.562
2015-09-01,43737.903
2015-10-01,49888.895
2015-11-01,38043.989
2015-12-01,39747.062
2016-01-01,30157.736
2016-02-01,39880.676
2016-03-01,54396.716
2016-04-01,31440.823
2016-05-01,42357.598
2016-06-01,49482.717
2016-07-01,33833.037
2016-08-01,30119.048
2016-09-01,41673.267
