Tarih,TP_METALITH_G277
2017-02-01,129.318
2017-03-01,495.453
2017-04-01,353.78
2017-05-01,389.305
2017-06-01,532.32
2017-07-01,307.171
2017-08-01,355.423
2017-09-01,372.503
2017-10-01,345.804
2017-11-01,430.986
2017-12-01,534.057
2018-01-01,567.292
2018-02-01,259.638
2018-03-01,571.775
2018-04-01,546.369
2018-05-01,273.664
2018-06-01,366.937
2018-07-01,441.598
2018-08-01,211.004
2018-09-01,252.235
2018-10-01,263.368
2018-11-01,254.772
2018-12-01,304.542
2019-01-01,224.97
2019-02-01,279.647
2019-03-01,372.909
2019-04-01,340.346
2019-05-01,431.46
2019-06-01,222.196
2019-07-01,532.81
2019-08-01,296.496
2019-09-01,223.329
2019-10-01,368.761
2019-11-01,427.92
2019-12-01,328.015
2020-01-01,331.731
2020-02-01,131.183
2020-03-01,316.094
2020-04-01,259.526
2020-05-01,242.406
2020-06-01,544.538
2020-07-01,773.695
2020-08-01,304.316
2020-09-01,334.927
2020-10-01,527.729
2020-11-01,394.12
2020-12-01,520.223
2021-01-01,476.251
2021-02-01,510.728
2021-03-01,638.879
2021-04-01,540.84
2021-05-01,738.673
2021-06-01,759.567
2021-07-01,698.108
2021-08-01,970.801
2021-09-01,1006.581
2021-10-01,463.73
2021-11-01,745.477
2021-12-01,676.262
2022-01-01,533.85
2022-02-01,560.979
2022-03-01,588.951
2022-04-01,1385.74
2022-05-01,905.529
2022-06-01,849.416
2022-07-01,408.971
2022-08-01,783.405
2022-09-01,751.491
2022-10-01,593.816
2022-11-01,722.847
2022-12-01,674.722
2023-01-01,570.065
2023-02-01,334.67
2023-03-01,529.388
2023-04-01,497.209
2023-05-01,727.716
2023-06-01,434.555
2023-07-01,394.129
2023-08-01,534.169
2023-09-01,477.169
2023-10-01,800.084
2023-11-01,461.732
2023-12-01,726.451
2024-01-01,635.189
2024-02-01,684.114
2024-03-01,796.573
2024-04-01,339.543
2024-05-01,510.837
2024-06-01,450.726
2024-07-01,527.821
2024-08-01,345.294
2024-09-01,341.185
2024-10-01,677.142
2024-11-01,556.092
2024-12-01,466.546
2025-01-01,467.97
2025-02-01,394.392
2025-03-01,571.407
2025-04-01,448.4
2025-05-01,463.961
2025-06-01,404.864
2025-07-01,607.219
2025-08-01,263.61
