Tarih,TP_METALITH_G289
2017-10-01,8.881
2017-11-01,6.4
2017-12-01,63.091
2018-01-01,10.633
2018-02-01,32.279
2018-03-01,177.431
2018-04-01,147.431
2018-05-01,45.892
2018-06-01,45.749
2018-07-01,285.394
2018-08-01,72.578
2018-09-01,187.842
2018-10-01,110.747
2018-11-01,319.003
2018-12-01,42.673
2019-01-01,80.634
2019-02-01,163.984
2019-03-01,156.671
2019-04-01,0.571
2019-05-01,85.066
2019-06-01,38.426
2019-07-01,187.423
2019-08-01,199.143
2019-09-01,225.018
2019-10-01,139.278
2019-11-01,139.45
2019-12-01,100.314
2020-01-01,338.818
2020-02-01,222.333
2020-03-01,353.741
2020-04-01,342.597
2020-05-01,161.893
2020-06-01,167.314
2020-07-01,99.626
2020-08-01,335.721
2020-09-01,1204.483
2020-10-01,404.025
2020-11-01,175.508
2020-12-01,196.869
2021-01-01,210.402
2021-02-01,176.095
2021-03-01,510.603
2021-04-01,127.735
2021-05-01,298.508
2021-06-01,3060.335
2021-07-01,487.893
2021-08-01,1178.219
2021-09-01,609.077
2021-10-01,433.951
2021-11-01,556.12
2021-12-01,915.009
2022-01-01,505.29
2022-02-01,442.559
2022-03-01,561.313
2022-04-01,218.973
2022-05-01,230.684
2022-06-01,166.275
2022-07-01,60.656
2022-08-01,264.062
2022-09-01,1882.006
2022-10-01,78.814
2022-11-01,148.091
2022-12-01,135.985
2023-01-01,114.736
2023-02-01,38.547
2023-03-01,232.494
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,15.378
2023-07-01,27.199
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,17.824
2023-11-01,0.0
2023-12-01,0.0
2024-01-01,
2024-02-01,
2024-03-01,0.79
2024-04-01,
2024-05-01,0.365
2024-06-01,
2024-07-01,
2024-08-01,0.62
2024-09-01,0.002
2024-10-01,0.014
2024-11-01,0.014
2024-12-01,
2025-01-01,0.006
2025-02-01,
2025-03-01,
2025-04-01,
2025-05-01,
2025-06-01,
2025-07-01,17.15
