Tarih,TP_MK_ISL_MK
2000-01-02,33365.978
2000-01-03,70071.9
2000-01-04,56017.548
2000-01-05,57164.2
2000-01-06,57354.1
2000-01-07,25882.231
2000-01-08,28305.6
2000-01-09,36967.24
2000-01-10,
2000-01-11,54363.086
2000-01-12,60320.064
2000-01-13,74509.359
2000-01-14,68698.957
2000-01-17,74370.415
2000-01-18,60378.975
2000-01-19,66833.972
2000-01-20,
2000-01-21,41726.07
2000-01-24,42081.556
2000-01-25,39405.229
2000-01-26,36452.681
2000-01-27,48305.438
2000-01-28,46707.806
2000-01-31,39101.687
2000-02-01,33365.978
2000-02-02,40568.131
2000-02-03,60593.8
2000-02-04,55915.654
2000-02-05,66439.7
2000-02-06,56761.5
2000-02-07,49400.309
2000-02-08,32985.7
2000-02-09,33415.708
2000-02-10,41441.941
2000-02-11,82279.88
2000-02-14,20199.744
2000-02-15,36242.867
2000-02-16,32782.864
2000-02-17,31661.247
2000-02-18,19920.601
2000-02-21,26045.465
2000-02-22,29779.942
2000-02-23,27161.219
2000-02-24,43308.254
2000-02-25,56669.6
2000-02-28,43039.5
2000-02-29,38592.3
2000-03-01,
2000-03-02,60593.8
2000-03-03,53668.9
2000-03-04,39426.1
2000-03-05,41240.9
2000-03-06,26811.1
2000-03-07,33717.6
2000-03-08,44644.3
2000-03-09,59856.1
2000-03-10,34229.55
2000-03-11,89907.83
2000-03-13,
2000-03-14,
2000-03-15,
2000-03-16,
2000-03-17,
2000-03-20,37524.0
2000-03-21,28279.8
2000-03-22,28325.0
2000-03-23,29349.0
2000-03-24,55367.0
2000-03-27,26546.9
2000-03-28,29347.0
2000-03-29,41797.6
2000-03-30,59059.5
2000-03-31,44881.9
2000-04-01,56017.548
2000-04-02,55915.654
2000-04-03,39426.1
2000-04-04,44597.9
2000-04-05,50354.6
2000-04-06,56227.4
2000-04-07,46559.2
2000-04-08,33856.0
2000-04-09,40644.07
2000-04-10,44136.89
2000-04-11,29764.6
2000-04-12,77785.8
2000-04-13,54740.3
2000-04-14,67784.5
2000-04-17,49176.5
2000-04-18,48191.1
2000-04-19,39636.5
2000-04-20,33676.9
2000-04-21,31139.1
2000-04-24,38750.9
2000-04-25,58815.9
2000-04-26,87023.3
2000-04-27,48078.3
2000-04-28,70333.4
