Tarih,TP_MK_F_SINAI
2000-01-02,114.74
2000-01-03,116.78
2000-01-04,113.08
2000-01-05,138.35
2000-01-06,118.65
2000-01-07,114.2023
2000-01-08,104.33
2000-01-09,100.71
2000-01-10,
2000-01-11,116.4
2000-01-12,122.65
2000-01-13,131.19
2000-01-14,139.83
2000-01-17,136.05
2000-01-18,140.21
2000-01-19,138.1744
2000-01-20,
2000-01-21,124.6902
2000-01-24,116.171
2000-01-25,122.2995
2000-01-26,125.04
2000-01-27,125.9
2000-01-28,125.83
2000-01-31,117.25
2000-02-01,114.74
2000-02-02,111.72
2000-02-03,115.98
2000-02-04,118.78
2000-02-05,138.44
2000-02-06,116.63
2000-02-07,114.93
2000-02-08,106.3
2000-02-09,109.64
2000-02-10,113.16
2000-02-11,108.56
2000-02-14,108.05
2000-02-15,112.1
2000-02-16,112.19
2000-02-17,107.68
2000-02-18,107.84
2000-02-21,102.27
2000-02-22,96.84
2000-02-23,92.71
2000-02-24,101.73
2000-02-25,108.32
2000-02-28,105.51
2000-02-29,110.28
2000-03-01,
2000-03-02,115.98
2000-03-03,115.48
2000-03-04,111.72
2000-03-05,136.06
2000-03-06,113.05
2000-03-07,117.23
2000-03-08,117.54
2000-03-09,123.37
2000-03-10,90.06
2000-03-11,110.88
2000-03-13,
2000-03-14,
2000-03-15,
2000-03-16,
2000-03-17,
2000-03-20,120.26
2000-03-21,121.13
2000-03-22,117.65
2000-03-23,120.29
2000-03-24,121.56
2000-03-27,122.51
2000-03-28,121.02
2000-03-29,118.25
2000-03-30,110.33
2000-03-31,111.84
2000-04-01,113.08
2000-04-02,118.78
2000-04-03,111.72
2000-04-04,114.66
2000-04-05,129.5
2000-04-06,119.39
2000-04-07,120.78
2000-04-08,105.6
2000-04-09,101.15
2000-04-10,90.65
2000-04-11,116.11
2000-04-12,116.59
2000-04-13,123.61
2000-04-14,129.08
2000-04-17,123.06
2000-04-18,120.81
2000-04-19,122.35
2000-04-20,123.21
2000-04-21,124.23
2000-04-24,124.37
2000-04-25,130.85
2000-04-26,134.22
2000-04-27,133.36
2000-04-28,138.33
2000-05-01,114.56
2000-05-02,138.44
2000-05-03,136.06
2000-05-04,111.74
2000-05-05,131.43
2000-05-06,116.98
2000-05-07,106.75
2000-05-08,127.08
2000-05-09,101.45
2000-05-10,92.29
2000-05-11,129.77
2000-05-12,64.47
2000-05-15,122.51
2000-05-16,124.81
2000-05-17,120.53
2000-05-18,118.11
2000-05-19,
2000-05-22,116.96
2000-05-23,112.52
2000-05-24,114.48
2000-05-25,117.16
2000-05-26,114.12
2000-05-29,114.82
2000-05-30,113.82
2000-05-31,115.81
2000-06-01,118.65
2000-06-02,116.63
2000-06-03,113.05
2000-06-04,119.39
2000-06-05,116.98
2000-06-06,117.88
2000-06-07,108.75
2000-06-08,118.63
2000-06-09,101.95
2000-06-10,94.25
2000-06-11,110.84
2000-06-12,116.6
2000-06-13,116.26
2000-06-14,113.52
2000-06-15,112.03
2000-06-16,108.11
2000-06-19,109.24
2000-06-20,110.64
2000-06-21,110.49
2000-06-22,111.52
2000-06-23,110.63
2000-06-26,109.28
2000-06-27,109.32
2000-06-28,108.86
2000-06-29,107.8
2000-06-30,107.49
2000-07-01,114.2023
2000-07-02,114.93
2000-07-03,117.23
2000-07-04,120.78
2000-07-05,106.75
2000-07-06,115.26
2000-07-07,107.38
2000-07-08,102.55
2000-07-09,99.14
2000-07-10,108.28
2000-07-11,108.58
2000-07-12,78.22
2000-07-13,104.48
2000-07-14,102.55
2000-07-17,99.09
2000-07-18,96.15
2000-07-19,96.17
2000-07-20,98.4
2000-07-21,99.17
2000-07-24,100.61
2000-07-25,102.12
2000-07-26,101.79
2000-07-27,101.35
2000-07-28,103.33
2000-07-31,103.82
2000-08-01,104.33
2000-08-02,112.29
2000-08-03,106.18
2000-08-04,105.6
2000-08-05,127.08
2000-08-06,118.63
2000-08-07,102.55
2000-08-08,100.98
2000-08-09,100.54
2000-08-10,98.71
2000-08-11,107.56
2000-08-12,69.12
2000-08-14,102.45
2000-08-15,102.26
2000-08-16,100.09
2000-08-17,100.04
2000-08-18,100.47
2000-08-21,101.2
2000-08-22,96.32
2000-08-23,100.45
2000-08-24,102.25
2000-08-25,101.27
2000-08-28,100.46
2000-08-29,100.25
2000-08-30,
2000-08-31,100.42
2000-09-01,100.71
2000-09-02,109.64
2000-09-03,123.37
2000-09-04,101.15
2000-09-05,130.27
2000-09-06,101.95
2000-09-07,99.14
2000-09-08,100.54
2000-09-10,95.24
2000-09-11,106.46
2000-09-12,88.47
2000-09-13,93.16
2000-09-14,91.61
2000-09-15,91.16
2000-09-18,87.89
2000-09-19,86.43
2000-09-20,86.89
2000-09-21,88.95
2000-09-22,86.4
2000-09-25,87.74
2000-09-26,87.79
2000-09-27,88.36
2000-09-28,89.47
2000-09-29,87.76
2000-10-01,
2000-10-02,113.16
2000-10-03,90.06
2000-10-04,90.65
2000-10-05,92.29
2000-10-06,94.25
2000-10-07,108.28
2000-10-08,98.71
2000-10-09,95.24
2000-10-10,97.46
2000-10-11,100.9
2000-10-12,100.11
2000-10-13,96.9
2000-10-16,102.42
2000-10-17,104.11
2000-10-18,104.27
2000-10-19,103.41
2000-10-20,107.51
2000-10-23,104.13
2000-10-24,102.62
2000-10-25,105.0
2000-10-26,103.62
2000-10-27,103.3
2000-10-30,102.75
2000-10-31,103.84
2000-11-01,116.4
2000-11-02,111.33
2000-11-03,110.88
2000-11-04,116.11
2000-11-05,129.77
2000-11-06,110.84
2000-11-07,109.52
2000-11-08,107.56
2000-11-09,106.46
2000-11-10,100.9
2000-11-12,71.05
2000-11-13,106.92
2000-11-14,101.81
2000-11-15,103.16
2000-11-16,102.84
2000-11-17,101.04
2000-11-20,96.06
2000-11-21,92.75
2000-11-22,84.48
2000-11-23,88.49
2000-11-24,85.24
2000-11-27,85.19
2000-11-28,75.85
2000-11-29,75.52
2000-11-30,77.39
2000-12-01,122.65
2000-12-04,116.59
2000-12-05,64.47
2000-12-06,116.6
2000-12-07,104.24
2000-12-08,69.12
2000-12-09,88.47
2000-12-10,100.11
2000-12-11,71.05
2000-12-12,69.63
2000-12-13,62.85
2000-12-14,64.84
2000-12-15,71.07
2000-12-18,67.28
2000-12-19,66.47
2000-12-20,65.39
2000-12-21,66.72
2000-12-22,69.42
2000-12-25,
2000-12-26,
2000-12-27,
2000-12-28,
2000-12-29,
2001-01-01,
2001-01-02,69.16
2001-01-03,69.81
2001-01-04,73.18
2001-01-05,74.73
2001-01-06,85.58
2001-01-08,75.35
2001-01-09,77.86
2001-01-10,81.95
2001-01-11,83.46
2001-01-12,80.83
2001-01-15,77.19
2001-01-16,75.8
2001-01-17,77.89
2001-01-18,80.65
2001-01-19,80.34
2001-01-22,82.2
2001-01-23,77.45
2001-01-24,80.73
2001-01-25,76.2
2001-01-26,77.34
2001-01-29,73.77
2001-01-30,73.57
2001-01-31,73.83
2001-02-01,75.07
2001-02-02,75.08
2001-02-03,71.3
2001-02-04,62.99
2001-02-05,72.37
2001-02-06,70.22
2001-02-07,86.63
2001-02-08,84.42
2001-02-09,67.01
2001-02-10,72.0
2001-02-11,91.28
2001-02-12,66.14
2001-02-13,65.14
2001-02-14,69.59
2001-02-15,71.04
2001-02-16,71.38
2001-02-19,64.74
2001-02-20,63.15
2001-02-21,56.56
2001-02-22,59.1
2001-02-23,61.53
2001-02-26,68.43
2001-02-27,65.25
2001-02-28,63.66
2001-03-01,68.85
2001-03-02,71.3
2001-03-04,62.9
2001-03-05,94.96
2001-03-06,
2001-03-07,85.86
2001-03-08,83.69
2001-03-09,
2001-03-10,71.63
2001-03-12,70.03
2001-03-13,62.93
2001-03-14,65.5
2001-03-15,63.22
2001-03-16,68.13
2001-03-19,68.23
2001-03-20,68.48
2001-03-21,69.74
2001-03-22,66.03
2001-03-23,65.86
2001-03-26,65.62
2001-03-27,63.19
2001-03-28,58.69
2001-03-29,58.94
2001-03-30,60.39
2001-04-01,73.18
2001-04-02,62.99
2001-04-03,62.9
2001-04-04,62.28
2001-04-05,98.37
2001-04-06,65.08
2001-04-07,85.43
2001-04-09,65.37
2001-04-10,64.88
2001-04-11,65.46
2001-04-12,69.6
2001-04-13,70.99
2001-04-16,71.59
2001-04-17,71.26
2001-04-18,71.68
2001-04-19,73.44
2001-04-20,76.85
2001-04-23,
2001-04-24,79.16
2001-04-25,81.31
2001-04-26,83.23
2001-04-27,93.21
2001-04-30,96.19
2001-05-01,93.98
2001-05-02,92.72
2001-05-03,
2001-05-04,98.37
2001-05-06,85.42
2001-05-07,87.86
2001-05-08,93.12
2001-05-09,84.84
2001-05-10,93.89
2001-05-11,92.28
2001-05-12,101.12
2001-05-14,90.07
2001-05-15,90.9
2001-05-16,91.5
2001-05-17,94.15
2001-05-18,93.72
2001-05-21,95.2
2001-05-22,97.72
2001-05-23,93.43
2001-05-24,91.83
2001-05-25,91.16
2001-05-28,90.35
2001-05-29,85.98
2001-05-30,84.99
2001-05-31,78.16
2001-06-01,85.58
2001-06-02,70.22
2001-06-03,
2001-06-04,65.08
2001-06-05,85.42
2001-06-06,83.85
2001-06-07,87.98
2001-06-08,84.9
2001-06-09,85.84
2001-06-11,88.15
2001-06-12,104.4
2001-06-13,86.52
2001-06-14,86.96
2001-06-15,90.12
2001-06-18,88.2
2001-06-19,84.35
2001-06-20,82.15
2001-06-21,82.29
2001-06-22,82.81
2001-06-25,83.56
2001-06-26,84.61
2001-06-27,86.6
2001-06-28,87.37
2001-06-29,87.7
2001-07-02,70.45
2001-07-03,85.86
