Tarih,TP_MK_F_HIZMET
2000-01-02,165.07
2000-01-03,151.03
2000-01-04,151.19
2000-01-05,170.44
2000-01-06,146.63
2000-01-07,162.3078
2000-01-08,117.19
2000-01-09,100.9
2000-01-10,
2000-01-11,171.92
2000-01-12,177.37
2000-01-13,190.35
2000-01-14,195.61
2000-01-17,193.35
2000-01-18,198.51
2000-01-19,199.4556
2000-01-20,
2000-01-21,184.3088
2000-01-24,171.2478
2000-01-25,178.5257
2000-01-26,183.22
2000-01-27,182.9
2000-01-28,178.59
2000-01-31,169.35
2000-02-01,165.07
2000-02-02,162.44
2000-02-03,158.01
2000-02-04,169.08
2000-02-05,171.67
2000-02-06,143.71
2000-02-07,164.99
2000-02-08,119.17
2000-02-09,152.76
2000-02-10,152.9
2000-02-11,99.51
2000-02-14,144.71
2000-02-15,149.4
2000-02-16,148.26
2000-02-17,143.67
2000-02-18,139.69
2000-02-21,131.58
2000-02-22,123.0
2000-02-23,119.09
2000-02-24,129.4
2000-02-25,138.13
2000-02-28,133.8
2000-02-29,138.57
2000-03-01,
2000-03-02,158.01
2000-03-03,153.23
2000-03-04,136.61
2000-03-05,169.5
2000-03-06,148.76
2000-03-07,155.55
2000-03-08,154.0
2000-03-09,158.92
2000-03-10,86.41
2000-03-11,101.96
2000-03-13,
2000-03-14,
2000-03-15,
2000-03-16,
2000-03-17,
2000-03-20,152.3
2000-03-21,150.56
2000-03-22,146.57
2000-03-23,148.95
2000-03-24,152.16
2000-03-27,154.88
2000-03-28,151.47
2000-03-29,147.76
2000-03-30,135.23
2000-03-31,136.9
2000-04-01,151.19
2000-04-02,169.08
2000-04-03,136.61
2000-04-04,136.15
2000-04-05,159.95
2000-04-06,144.75
2000-04-07,145.9
2000-04-08,116.48
2000-04-09,102.83
2000-04-10,85.86
2000-04-11,140.74
2000-04-12,140.02
2000-04-13,148.86
2000-04-14,154.89
2000-04-17,146.9
2000-04-18,143.23
2000-04-19,141.85
2000-04-20,142.95
2000-04-21,145.13
2000-04-24,142.63
2000-04-25,153.12
2000-04-26,158.23
2000-04-27,158.07
2000-04-28,167.62
2000-05-01,152.58
2000-05-02,171.67
2000-05-03,169.5
2000-05-04,135.36
2000-05-05,164.86
2000-05-06,145.44
2000-05-07,128.02
2000-05-08,160.83
2000-05-09,103.09
2000-05-10,88.43
2000-05-11,161.11
2000-05-12,56.31
2000-05-15,154.24
2000-05-16,156.02
2000-05-17,153.08
2000-05-18,149.99
2000-05-19,
2000-05-22,147.49
2000-05-23,139.37
2000-05-24,142.2
2000-05-25,144.82
2000-05-26,143.47
2000-05-29,142.51
2000-05-30,141.01
2000-05-31,142.98
2000-06-01,146.63
2000-06-02,143.71
2000-06-03,148.76
2000-06-04,144.75
2000-06-05,145.44
2000-06-06,144.46
2000-06-07,128.75
2000-06-08,147.68
2000-06-09,105.87
2000-06-10,89.29
2000-06-11,103.18
2000-06-12,141.31
2000-06-13,139.82
2000-06-14,136.5
2000-06-15,134.2
2000-06-16,129.68
2000-06-19,128.56
2000-06-20,132.89
2000-06-21,132.38
2000-06-22,133.14
2000-06-23,132.76
2000-06-26,134.36
2000-06-27,132.51
2000-06-28,134.17
2000-06-29,129.06
2000-06-30,129.3
2000-07-01,162.3078
2000-07-02,164.99
2000-07-03,155.55
2000-07-04,145.9
2000-07-05,128.02
2000-07-06,141.38
2000-07-07,127.79
2000-07-08,114.91
2000-07-09,104.21
2000-07-10,129.45
2000-07-11,130.55
2000-07-12,71.57
2000-07-13,123.15
2000-07-14,118.91
2000-07-17,115.38
2000-07-18,115.38
2000-07-19,116.81
2000-07-20,117.02
2000-07-21,119.04
2000-07-24,120.61
2000-07-25,120.02
2000-07-26,118.17
2000-07-27,115.09
2000-07-28,117.42
2000-07-31,116.48
2000-08-01,117.19
2000-08-02,162.53
2000-08-03,117.31
2000-08-04,116.48
2000-08-05,160.83
2000-08-06,147.68
2000-08-07,114.91
2000-08-08,113.3
2000-08-09,110.56
2000-08-10,108.22
2000-08-11,95.22
2000-08-12,63.04
2000-08-14,110.45
2000-08-15,108.65
2000-08-16,105.51
2000-08-17,104.14
2000-08-18,103.06
2000-08-21,104.23
2000-08-22,100.37
2000-08-23,103.77
2000-08-24,104.34
2000-08-25,103.0
2000-08-28,100.72
2000-08-29,102.91
2000-08-30,
2000-08-31,99.73
2000-09-01,100.9
2000-09-02,152.76
2000-09-03,158.92
2000-09-04,102.83
2000-09-05,163.84
2000-09-06,105.87
2000-09-07,104.21
2000-09-08,110.56
2000-09-10,91.72
2000-09-11,95.4
2000-09-12,94.64
2000-09-13,98.33
2000-09-14,96.07
2000-09-15,96.04
2000-09-18,92.28
2000-09-19,88.57
2000-09-20,91.15
2000-09-21,92.03
2000-09-22,86.0
2000-09-25,83.7
2000-09-26,82.15
2000-09-27,83.14
2000-09-28,84.6
2000-09-29,85.43
2000-10-01,
2000-10-02,152.9
2000-10-03,86.41
2000-10-04,85.86
2000-10-05,88.43
2000-10-06,89.29
2000-10-07,129.45
2000-10-08,108.22
2000-10-09,91.72
2000-10-10,93.36
2000-10-11,98.12
2000-10-12,96.79
2000-10-13,92.04
2000-10-16,96.95
2000-10-17,100.24
2000-10-18,97.09
2000-10-19,94.98
2000-10-20,98.14
2000-10-23,94.63
2000-10-24,93.75
2000-10-25,95.74
2000-10-26,94.54
2000-10-27,94.44
2000-10-30,94.24
2000-10-31,96.24
2000-11-01,171.92
2000-11-02,150.02
2000-11-03,101.96
2000-11-04,140.74
2000-11-05,161.11
2000-11-06,103.18
2000-11-07,99.88
2000-11-08,95.22
2000-11-09,95.4
2000-11-10,98.12
2000-11-12,70.17
2000-11-13,94.87
2000-11-14,91.07
2000-11-15,91.25
2000-11-16,90.35
2000-11-17,89.12
2000-11-20,84.04
2000-11-21,82.34
2000-11-22,76.18
2000-11-23,79.09
2000-11-24,78.03
2000-11-27,77.16
2000-11-28,69.58
2000-11-29,65.99
2000-11-30,66.04
2000-12-01,177.37
2000-12-04,140.02
2000-12-05,56.31
2000-12-06,141.31
2000-12-07,124.25
2000-12-08,63.04
2000-12-09,94.64
2000-12-10,96.79
2000-12-11,70.17
2000-12-12,69.18
2000-12-13,63.32
2000-12-14,67.96
2000-12-15,74.94
2000-12-18,69.83
2000-12-19,68.71
2000-12-20,67.56
2000-12-21,69.19
2000-12-22,71.58
2000-12-25,
2000-12-26,
2000-12-27,
2000-12-28,
2000-12-29,
2001-01-01,
2001-01-02,72.28
2001-01-03,70.59
2001-01-04,73.12
2001-01-05,74.32
2001-01-06,63.77
2001-01-08,74.38
2001-01-09,75.99
2001-01-10,79.91
2001-01-11,84.11
2001-01-12,79.88
2001-01-15,78.64
2001-01-16,76.31
2001-01-17,75.76
2001-01-18,78.42
2001-01-19,76.33
2001-01-22,77.63
2001-01-23,73.36
2001-01-24,75.82
2001-01-25,74.41
2001-01-26,74.68
2001-01-29,72.22
2001-01-30,71.57
2001-01-31,71.08
2001-02-01,71.36
2001-02-02,71.23
2001-02-03,64.7
2001-02-04,52.43
2001-02-05,67.96
2001-02-06,65.66
2001-02-07,64.63
2001-02-08,54.57
2001-02-09,62.16
2001-02-10,44.11
2001-02-11,67.49
2001-02-12,59.08
2001-02-13,57.46
2001-02-14,59.81
2001-02-15,61.18
2001-02-16,60.34
2001-02-19,54.28
2001-02-20,51.5
2001-02-21,45.84
2001-02-22,48.04
2001-02-23,51.2
2001-02-26,58.18
2001-02-27,60.41
2001-02-28,60.57
2001-03-01,64.21
2001-03-02,64.7
2001-03-04,52.15
2001-03-05,75.24
2001-03-06,
2001-03-07,63.76
2001-03-08,54.49
2001-03-09,
2001-03-10,44.64
2001-03-12,63.56
2001-03-13,58.41
2001-03-14,60.72
2001-03-15,58.3
2001-03-16,61.49
2001-03-19,60.38
2001-03-20,60.52
2001-03-21,60.98
2001-03-22,56.35
2001-03-23,56.71
2001-03-26,57.5
2001-03-27,54.1
2001-03-28,50.12
2001-03-29,48.92
2001-03-30,51.18
2001-04-01,73.12
2001-04-02,52.43
2001-04-03,52.15
2001-04-04,52.38
2001-04-05,77.12
2001-04-06,56.02
2001-04-07,63.08
2001-04-09,55.96
2001-04-10,55.36
2001-04-11,54.8
2001-04-12,57.23
2001-04-13,58.49
2001-04-16,58.6
2001-04-17,58.89
2001-04-18,59.31
2001-04-19,61.31
2001-04-20,61.51
2001-04-23,
2001-04-24,62.16
2001-04-25,63.26
2001-04-26,64.94
2001-04-27,73.04
2001-04-30,76.27
2001-05-01,73.55
2001-05-02,72.69
2001-05-03,
2001-05-04,77.12
2001-05-06,64.36
2001-05-07,64.38
2001-05-08,73.1
2001-05-09,53.55
2001-05-10,73.78
2001-05-11,67.38
2001-05-12,78.85
2001-05-14,70.25
2001-05-15,70.67
2001-05-16,71.45
2001-05-17,71.51
2001-05-18,70.36
2001-05-21,71.87
2001-05-22,73.72
2001-05-23,70.88
2001-05-24,68.82
2001-05-25,68.6
2001-05-28,67.94
2001-05-29,64.39
2001-05-30,63.61
2001-05-31,58.84
2001-06-01,63.77
2001-06-02,65.66
2001-06-03,
2001-06-04,56.02
2001-06-05,64.36
2001-06-06,63.09
